term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
88020	0.0406	4	AT1G02560,AT1G12250,AT1G76760,AT1G80030,AT2G17630,AT2G29500,AT2G37660,AT2G44990,AT3G08920,AT5G01500,AT5G08540,AT5G19370	70	82	12	13
100014	0.01235	6	AT1G15820,AT2G22360,AT2G24020,AT3G15360,AT3G60370,AT4G13670,AT5G16660,AT5G52970	72	98	8	27
128293	0.0373	1	AT1G07510,AT1G20810,AT1G22020,AT1G50460,AT1G51350,AT1G54500,AT2G22360,AT2G35040,AT2G42975,AT3G15840,AT3G24590,AT3G25480,AT3G28850,AT3G46780,AT3G53560,AT3G58010,AT4G13010,AT4G13670,AT4G16155,AT4G38380,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G53170,AT5G59250	81	91	26	11
95792	0.00595	4	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G79230,AT2G24020,AT2G42220,AT2G43010,AT3G15360,AT3G24590,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT4G24930,AT5G12470,AT5G23890,AT5G52970	71	98	20	28
46792	0.00893	3	AT5G20140,AT3G10470,AT2G40400,AT5G23890,AT2G27290,AT1G55370,AT4G04020,AT4G24750,AT3G26580,AT1G67280,AT1G74710,AT4G18370,AT4G39960,AT5G42765	62	77	14	16
46790	0.01042	3	AT1G17850,AT1G55370,AT1G67280,AT2G27290,AT3G10470,AT3G26580,AT4G04020,AT4G18370,AT4G24750,AT5G20140,AT5G23890,AT5G42765	62	77	12	16
21619	0.00641	2	AT4G19830,AT5G19370,AT5G15250,AT5G01500,AT2G40400,AT1G80030,AT5G23890,AT5G02160,AT2G27290,AT1G55370,AT4G04020,AT2G30950,AT1G67280,AT1G76760,AT4G39960,AT5G42765	57	69	16	13
21618	0.00641	2	AT1G55370,AT1G72640,AT1G74710,AT1G76760,AT1G80030,AT2G27290,AT2G30950,AT2G40400,AT4G04020,AT4G39960,AT5G01500,AT5G02160,AT5G15250,AT5G19370,AT5G23890,AT5G42765	57	69	16	13
21610	0.0057	2	AT5G39830,AT5G19370,AT5G01500,AT2G40400,AT1G80030,AT5G23890,AT5G02160,AT4G04020,AT1G55370,AT2G17630,AT5G13120,AT5G15250,AT1G54050,AT2G30950,AT1G72640,AT1G74710,AT1G76760,AT4G39960	57	69	18	13
154272	0.00513	1	AT1G20810,AT1G21750,AT2G37400,AT4G19830,AT1G74070,AT1G16790,AT2G01140,AT1G78915,AT1G65260,AT1G03090,AT1G54790,AT1G05385,AT4G38100	92	101	13	10
