term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
3104	0.9405	3	AT1G15140,AT1G20810,AT1G79230,AT1G79450,AT4G01900,AT4G20820,AT4G24930	70	81	7	12
4747	0.9403	9	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G29920,AT1G55370,AT2G20270,AT2G24020,AT2G43010,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT5G12470,AT5G16150,AT5G19500,AT5G52970	81	107	18	27
1992	0.9396	4	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G79230,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G25480,AT3G55330,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	62	76	32	15
5058	0.9394	2	AT1G22020,AT1G22450,AT1G51350,AT1G52220,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G35170,AT5G53170,AT5G59250	85	95	15	11
2284	0.9394	3	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G79230,AT2G22360,AT2G24020,AT2G35040,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G25480,AT3G55330,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970	64	75	33	12
3886	0.9393	3	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G20810,AT1G22020,AT1G22450,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G51110,AT1G51350,AT1G54500,AT1G75690,AT1G79230,AT1G79450,AT2G20270,AT2G22360,AT2G24020,AT2G35040,AT2G37230,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G15840,AT3G22690,AT3G24590,AT3G25480,AT3G28850,AT3G46780,AT3G53560,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G13670,AT4G16155,AT4G20820,AT4G24930,AT4G27700,AT4G38380,AT4G39460,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G23890,AT5G52970,AT5G53170,AT5G59250	75	87	57	13
1383	0.9379	5	AT1G30510,AT1G79230,AT2G24020,AT2G37230,AT2G43010,AT4G20820,AT4G24930	58	80	7	23
2421	0.9374	2	AT1G07510,AT1G15820,AT1G22020,AT1G22450,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G50460,AT1G51350,AT1G56500,AT1G75690,AT1G79230,AT2G22360,AT2G24020,AT2G35040,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G15840,AT3G24590,AT3G25480,AT3G28850,AT3G46780,AT3G55330,AT3G58010,AT4G13010,AT4G13670,AT4G16155,AT4G20820,AT4G24930,AT4G27700,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G52970,AT5G53170,AT5G59250	65	75	45	11
2077	0.9368	8	AT1G07510,AT1G15820,AT1G29920,AT1G30510,AT1G50250,AT2G24020,AT2G37230,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G38380	62	89	13	28
3497	0.936	3	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G28850,AT4G16155,AT5G53170,AT5G59250	72	96	10	25
