purity	class_distance	pearson	geneSet	geneSize	min_TimePoint	max_TimePoint
0.0	0.0304035768515	0.686862518726	837040,839392,838250,841920,844230	5	79	96
0.00701754385965	0.0100243049796	0.585903698001	842985,817272,825714,837778,817646	5	49	67
0.0925925925926	0.0902927481933	0.749711060847	816545,820041,839433,843095,817499,838259	6	89	103
0.0	0.00434158468095	0.690489201947	822055,837265,816768,838151,832247	5	68	78
0.0	0.0270556490988	0.523191701948	833979,839642,3770591,831151,823859	5	69	80
0.0	0.00528279502266	0.146614852457	837179,821840,820741,820176,830157,839869	6	94	105
0.025641025641	0.0167383142665	0.573803711209	832070,841468,841652,831472,818069,816768	6	86	98
0.040404040404	0.0323922266528	0.592579790303	820211,844264,841652,820176,827001,844010,818069,835320,822266	9	56	66
0.00416666666667	0.00604450126129	0.667274447814	818899,831528,826914,838079,818822	5	83	98
0.0031746031746	0.028015879127	0.677276197235	838779,839392,822205,824524,838250,818316,816651	7	61	75
0.0	0.0244281568275	0.784688300468	837040,839392,838250,841920,838779	5	65	80
0.0	0.00895454771917	0.0666869483888	829283,818903,818599,841468,822205,827564,823859,816936,840894,819107,837179	11	51	61
0.0	0.00974022251833	0.836106721377	824970,832070,829995,830101,831472	5	70	80
0.0190476190476	0.0295964641001	0.803476276179	824970,838851,836043,830101,829995,838807,842103	7	63	72
0.0277777777778	0.0533255855126	0.60813720346	820041,818343,839433,833471,3770591,819107	6	80	89
0.849122807018	3.26891770953	0.94504857812	817176,821051,820665,828697,829834	5	68	86
0.0	0.00464629804447	0.418943015479	837179,821840,827830,818903,824937,827001,831122,818672,839869,831151	10	98	107
0.0	0.00588104631689	0.552994599808	831151,820741,843048,838364,829730,827921	6	93	103
0.0	0.046703879739	0.69256205643	839566,816545,820741,837974,817499,838455	6	54	63
0.0	0.00388118731527	0.293054572555	844264,827001,818903,838151,828595	5	88	98
0.0	0.00948258003246	0.677595134683	825714,817646,844010,837778,842985,817272,834286	7	58	67
0.0757575757576	0.176335458262	0.775483707348	839566,816545,820041,817620,818343,820741,843095,817499,834232,821143	10	62	72
0.0	0.00694269950584	0.214439894057	828884,838984,844264,835431,828213	5	97	107
0.0	0.00672432043131	0.60383913564	818899,831122,841447,832247,818822	5	72	92
0.160173160173	0.113620975227	0.900927417366	830593,841919,838250,821657,831888,817174,839392	7	58	68
0.00555555555556	0.009979415512	0.822682951555	832454,820775,824937,830101,816546	5	84	95
0.121212121212	0.104906542778	0.929949591938	817174,831888,830593,821657,841919	5	96	106
0.00555555555556	0.0530199295898	0.655571327898	832057,816545,817221,831861,839642,837974,828489,836393,823859,816270	10	79	90
0.0	0.00536271972862	0.711388988803	835375,837265,832454,831122,822055,816936	6	88	97
0.834920634921	3.14340645666	0.953672292834	817176,821051,818766,829834,828697	5	57	77
0.151515151515	0.0209460978895	0.313779997001	843110,816692,841467,843827,829966	5	65	75
0.0	0.00278336965958	0.426861296865	816651,828595,828917,844264,822205,844283	6	75	84
0.00555555555556	0.0149583243468	0.678731123865	834212,842985,838364,829730,843596,841984	6	73	82
0.0	0.00240293199283	0.424157938964	837179,828577,839930,828213,828595	5	54	63
0.00673400673401	0.0207637899336	0.642833791214	841892,824970,832070,830101,835431,829995,831472,831528,824524	9	76	86
0.0233333333333	0.0544852247208	0.434631015498	844230,842833,838250,818316,838779	5	86	105
0.0153846153846	0.0247777339981	0.737257955835	843903,838807,838851,836043,822517	5	90	102
0.00606060606061	0.00614804289706	0.660434387949	822055,837265,824699,840894,838151	5	64	74
0.00740740740741	0.0109908120701	0.621118374143	818069,822266,820211,841652,827001	5	49	66
0.00952380952381	0.0146819471559	0.580149619652	841900,833979,829283,841843,820211,838021,830157	7	81	90
0.0181818181818	0.0233318384058	0.807301227632	822132,843903,841558,841468,822517	5	64	74
0.0	0.00760496673751	0.780930388255	818899,820775,826914,841447,831528	5	62	73
0.0541666666667	0.0273276885146	0.048557011501	841892,843110,3768499,838779,814643,843827,836393,824524	8	56	65
0.0111111111111	0.031395201218	0.266421719117	844230,842833,827727,818316,838779	5	95	106
0.254166666667	0.308880217154	0.701046354188	842830,817196,843491,824770,841033	5	50	65
0.00925925925926	0.0204774477167	0.466148893697	820775,816546,839930,827830,835375,840894,824937,832454,825208,838151,818300,839869	12	79	90
0.0	0.0033358947256	0.427825608737	828595,835375,837265,838151,831122,822055	6	91	103
0.0	0.0530601651879	0.756079755719	839433,837996,839566,817499,816545	5	96	105
0.0	0.0190220925191	0.677772967661	818599,828489,836393,839642,837974	5	80	91
0.509090909091	0.834323639309	0.87473145629	829266,828608,843687,823814,839449	5	52	62
0.0148148148148	0.0349700623252	0.871676882034	832057,844343,818343,837778,816270	5	86	103
0.0	0.00919562009138	0.653397841128	818899,830128,826914,818903,831122	5	69	79
0.0	0.00733602317668	0.761144419403	818903,818899,826914,831122,831528,841447	6	66	75
0.0	0.00675778402739	0.423975749147	842985,817272,843596,828213,843048	5	81	91
0.0252525252525	0.0644481663696	0.441074300726	828595,844264,841652,830128,842103,844283	6	78	88
0.0242424242424	0.0172823540138	0.819467605297	830157,844343,832057,841984,817646	5	59	69
0.015873015873	0.0165219344595	0.655437766362	824970,841892,832070,829995,831472,831528,816768	7	77	91
0.00694444444444	0.010597991621	0.593086858628	832070,841652,826914,829995,831472,818069,831528,816936	8	94	105
0.0277777777778	0.0296610929333	0.785954159522	822132,822517,843903,841468,820827,841558	6	65	74
0.00555555555556	0.0112003173212	0.635943022589	840894,816768,825208,838151,835375	5	61	72
0.113333333333	0.0472911948301	0.307419660479	822132,827307,835398,841892,823831	5	84	93
0.0	0.0271286613733	0.658724118939	837040,838779,841920,839392,822205,824524,838250,818316	8	68	80
0.0	0.0146619787547	0.747181136783	822132,841892,832070,841468,829995,831472	6	69	78
0.0	0.00750521317847	0.392668344317	832136,821840,827830,843903,841558,824937,829995	7	49	64
0.0	0.00673717634059	0.389111376812	827727,817272,834286,837778,843048	5	60	69
0.00666666666667	0.0132142318076	0.766844496052	827001,816768,825208,832247,835375	5	64	73
