,term_id,sign_score,level,annotation_gene,start_time,end_time,geneSize,time_size
96,38767,0.0451,1,"828884,818343,833471,834232,835355,818731,816545,837974,838455,820741,839566,817499,817620,843095,3770591,821143,837996",60,69,17,10
97,168646,0.0451,1,"827307,818069,824970,829995,841468,832070,816768,841652,831472,818899,826914,831528,838079,818822,832247,838851,835398",86,95,17,10
98,172035,0.045,1,"816270,844343,818343,832057,837778,844010,816545,831861,820041,838259,819107,839433,817620,823859,837974,828489,3770591,818599,821143,817221",87,96,20,10
99,44055,0.0444,1,"828884,828489,839433,817221,817499,817620,816545,839566,820041,819107,818343,837974,843095,833471,838455,834232,835355,3770591,818731,821143,820741",61,70,21,10
100,186655,0.0444,1,"838779,838672,818316,827727,838250,841892,844230,842833,814643,843747,829966,830128",95,104,12,10
101,181470,0.0444,1,"816270,831861,832057,818343,837778,844343,819107,838259,830754",91,100,9,10
102,184448,0.0444,1,"816270,837778,832057,844343,818343,818599,817620,839566,816545,820041,843095,838259,819107,839433,831861",93,102,15,10
103,28159,0.0444,1,"828884,843095,817499,817620,816545,839566,818343,837974,838455,820741,818731,833471",58,67,12,10
104,129623,0.0443,1,"839433,839566,839642,816270,816545,817499,817620,818343,819107,820041,823859,3770591,833471",75,85,13,11
105,69331,0.0438,1,"838807,838851,842103,818822,828884,829995,830101,831528,836043",65,75,9,11
106,182000,0.0437,1,"839566,837996,843095,816545,817499,820041",91,104,6,14
107,38844,0.0436,1,"839433,839566,837974,838455,816545,817221,817499,817620,818343,818731,819107,820741,828884,833471,834232,835355",60,70,16,11
108,38846,0.0436,1,"839566,837974,838455,843095,816545,817499,817620,818343,818731,819107,820741,828884,3770591,833471,834232,835355",60,70,16,11
109,162134,0.0433,1,"828884,823831,835398,818899,837265,843903,824970,841892,832070,818822,836043,838079,818069,827307,826914,841652,822517,838807,841447,831528,829995,816768,831472,832247,841558,820827,822132,841468,822055,838851",84,93,30,10
110,86669,0.0429,1,"828884,822517,836043,838807,822132,841558,842103",68,77,7,10
111,188866,0.0427,1,"839433,837778,843095,844343,816545,817499,818343,818599,819107,3770591,831861,835398",98,110,12,13
112,62949,0.0425,1,"3768499,837974,839433,833979,817499,834232,843596,817620,818343,3770591,832057,843095,821143,835355,828489,838455,831861,816545,839566,831151,844010,819107,820741,820041,833471,818731,817221,844378,837996",64,73,29,10
113,165284,0.0417,1,"839433,839566,817499,843095,838362,817620,830754,819107",85,94,8,10
114,39092,0.0417,1,"838151,838851,840894,841447,842103,818899,820775,822517,825208,826914,830101,830754,831122,831528,835320,835375,835398,836043",60,71,18,12
115,44119,0.0417,1,"818822,843903,832070,838807,831472,824970,829995,836043,830754,830101,827307,822517,818300,842103,838851,835320",61,70,16,10
116,168641,0.0413,1,"816270,817221,837974,837778,818599,844343,3770591,832057,821143,844010,828489,831861,818343,830754,816545,839433,819107,817499,820041,838259,817620",86,95,21,10
117,129621,0.0411,1,"839433,838362,839566,839642,843095,816545,817499,817620,818343,819107,820041,823859,3770591,833471",75,85,14,11
118,148301,0.0411,1,"828884,838672,823831,818899,835398,832070,835431,818822,827307,824524,836043,826914,822517,838807,830101,831528,838851,824970,841892,829995,816768,818069,841534,831472,832247,841558,820827,822132,841468,843903",80,89,30,10
119,148302,0.0411,1,"828884,838672,823831,818899,835398,832070,835431,818822,827307,824524,836043,826914,822517,838807,830101,831528,838851,824970,841892,829995,816768,818069,841534,831472,832247,841558,820827,822132,841468,838079",80,89,30,10
120,124395,0.041,1,"820827,835398,841892,838807,831528,824970,830101,836043,818822,822132,842103,818069,826914",74,83,13,10
121,125143,0.0408,1,"838807,841534,841558,820827,822517,823831,836043",74,87,7,14
122,50239,0.0407,1,"837974,817499,817620,816545,839566,834232,818343,833471,838455,820741,3770591,3768499,819107,839433,835355,818731,843095,820041",62,71,18,10
123,184449,0.04,1,"816270,837778,832057,844343,818343,817499,830754,816545,839566,820041,843095,838259,819107,839433,831861",93,102,15,10
124,184450,0.04,1,"816270,837778,832057,844343,837996,817499,830754,816545,839566,820041,843095,838259,839433,819107,831861",93,102,15,10
125,129700,0.0398,1,"838807,841468,841534,841558,841892,818069,820827,822132,823831,824970,827307,830101,831472,832070,835398,836043",75,85,16,11
126,133979,0.0397,1,"818069,841468,830101,824970,841892,824524,829995,835431,831528,832070,831472,838851,818822,823831,835398,827307,826914,822517,836043,825208,838807,841534,820827,841558,822132,816768",76,85,26,10
127,165278,0.0396,1,"823831,835398,827307,841558,838807,820827,824524,835431,824970,829995,816768,818069,831472,832070,841468,822132",85,94,16,10
128,172121,0.0394,1,"837265,838807,838851,841558,841652,816768,816936,818069,818822,818899,820827,822055,823831,824970,827307,831528,832070,832247,833471,835398",87,97,20,11
129,152039,0.0394,1,"816270,832057,831861,816545,838362,817499,819107,820041,817620,818343,839433",81,90,11,10
130,185832,0.0394,1,"838250,838672,841920,843747,844230,814643,818316,820827,829966,830128",94,104,10,11
131,186662,0.0394,1,"820827,843747,830128,814643,841920,829966,839392,838672,844230,838250,818316",95,104,11,10
132,124317,0.0394,1,"839642,817499,833471,3770591,819107,818343,839433,820041,817620,838362,837996",74,83,11,10
133,74395,0.0392,1,"828884,835398,818822,824970,829995,830101,832070,831472,830128,831528,827307,838807,838851,842103,822132,841468,836043",66,75,17,10
134,74408,0.0392,1,"837996,816270,837974,837778,839433,817499,839566,834232,3770591,844343,817620,818343,843095,832057,816545,820041,831151,819107,844010,818731,833471,838362,821143,820741,835355,817221,838455,828489,831861,833979,817646,843596,831377,816546",66,75,34,10
135,100006,0.0389,1,"829995,831472,823831,832070,822132,841468,822517,820827,828884,838807,841558,836043",70,79,12,10
