term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
156154	0.05556	1	AT1G02560,AT1G03160,AT1G16880,AT1G67700,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920,AT5G01500	93	104	10	12
149408	0.05556	1	AT2G17630,AT5G19370,AT1G12250,AT2G37660,AT1G80030,AT1G16880,AT5G01500,AT1G76760,AT2G40100,AT4G37925,AT2G30695,AT1G02560,AT3G08920,AT2G20260,AT2G44990	89	98	15	10
149410	0.05556	1	AT2G17630,AT5G19370,AT1G12250,AT2G37660,AT1G80030,AT1G16880,AT5G01500,AT1G76760,AT5G08540,AT2G29500,AT1G02560,AT3G08920,AT2G30695,AT2G20260,AT2G44990	89	98	15	10
122177	0.05556	1	AT1G03160,AT2G30695,AT1G03090,AT2G29500,AT3G08920,AT5G35170,AT1G02560,AT2G44990,AT2G37660	79	88	9	10
114707	0.055	9	AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT5G16150,AT5G19500,AT5G53170	76	100	8	25
114890	0.05495	10	AT1G50460,AT1G51350,AT2G35040,AT3G46780,AT5G16150,AT5G19500,AT5G53170	76	101	7	26
51982	0.0549	6	AT1G02560,AT1G67700,AT1G76760,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G08920,AT5G01500,AT5G19370	63	79	10	17
139984	0.0549	1	AT2G17630,AT1G12250,AT2G37660,AT1G80030,AT5G19370,AT5G01500,AT2G20260,AT1G76760,AT3G08920,AT1G14150,AT1G67700,AT2G29500,AT1G03090,AT1G16880,AT2G30695,AT2G44990,AT1G02560	85	94	17	10
144961	0.05476	1	AT2G17630,AT2G37660,AT5G01500,AT5G19370,AT2G20260,AT3G08920,AT1G03090,AT2G29500,AT2G30695,AT1G67700,AT1G02560,AT1G16880,AT2G44990,AT5G08540	87	96	14	10
143317	0.05469	4	AT1G50460,AT1G51350,AT1G52220,AT2G35040,AT3G46780,AT5G16150,AT5G19500,AT5G53170	86	101	8	16
26810	0.05417	2	AT1G14345,AT1G67700,AT3G01440,AT3G08920,AT4G37925	58	73	5	16
101300	0.05413	5	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G28850,AT4G16155	72	110	6	39
158266	0.05397	2	AT1G16790,AT1G20810,AT1G21750,AT1G54500,AT1G65260,AT1G78915,AT2G37400	94	108	7	15
30340	0.05357	1	AT1G03160,AT1G14150,AT1G14345,AT1G18730,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920,AT3G15110,AT4G27700,AT4G37925,AT5G35170	59	70	14	12
36469	0.05357	3	AT1G03160,AT1G14150,AT1G14345,AT1G18730,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G35170,AT5G42270	60	73	16	14
37326	0.0535	6	AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110	60	77	9	18
107515	0.05333	2	AT3G25480,AT5G59250,AT3G28850,AT1G50460,AT3G46780,AT3G15840,AT5G53170,AT4G16155,AT1G22020,AT1G51350	74	98	10	25
144956	0.05294	1	AT2G40100,AT3G08920,AT5G19370,AT5G01500,AT1G67700,AT1G80030,AT2G29500,AT1G12250,AT2G17630,AT2G20260,AT5G08540,AT2G30695,AT2G37660,AT1G02560,AT1G76760,AT2G44990,AT1G16880	87	96	17	10
144959	0.05294	1	AT2G17630,AT2G37660,AT5G01500,AT5G19370,AT2G20260,AT3G08920,AT1G12250,AT1G80030,AT1G76760,AT2G40100,AT1G14150,AT4G37925,AT2G29500,AT1G16880,AT2G30695,AT1G02560,AT2G44990	87	96	17	10
121329	0.05288	7	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G28850,AT4G16155,AT4G27700,AT5G59250	78	103	8	26
41195	0.05279	3	AT1G02560,AT1G03160,AT1G14150,AT1G14345,AT1G18730,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G35170,AT5G42270	61	73	17	13
41790	0.05278	2	AT1G02560,AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G26800,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G35170,AT5G42270	61	75	16	15
149792	0.05272	2	AT1G02560,AT1G12250,AT1G16880,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G01500,AT5G19370	89	102	14	14
35862	0.05263	2	AT1G03160,AT3G01440,AT3G08920,AT5G52780,AT3G15110,AT4G27700,AT1G67700,AT2G29500,AT5G42270,AT2G41330,AT2G20260,AT2G30695,AT2G37660,AT1G14150,AT5G35170,AT1G14345,AT1G18730,AT4G37925,AT2G44990	60	71	19	12
