Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
8259	0.632	7	11	1	1	1	1
4917	0.6296	6	15	0	0	1	1
4142	0.6273	10	11	0	0	0	1
4136	0.6222	15	10	0	0	1	1
8256	0.6167	8	10	0	1	0	1
5073	0.6152	11	10	0	1	0	0
8138	0.6104	7	11	1	1	1	1
5672	0.6094	9	11	1	0	1	1
4138	0.6091	11	10	0	0	1	1
8130	0.6083	8	10	0	1	0	1
7801	0.6048	14	10	0	1	1	1
4923	0.6039	5	17	1	0	0	1
7018	0.5985	8	11	1	1	0	1
5471	0.5958	8	10	0	1	0	0
8237	0.5952	7	10	0	1	1	1
5486	0.5952	7	12	0	1	0	0
7186	0.5939	5	11	1	1	1	0
5274	0.5939	11	10	0	0	1	1
4893	0.5909	8	11	0	0	1	1
2506	0.588	6	12	1	0	0	1
4149	0.5868	8	12	1	0	1	1
7803	0.5806	12	10	0	1	1	1
3960	0.5788	7	13	1	0	0	1
7344	0.5762	7	10	0	0	1	1
5847	0.5733	15	10	0	1	0	0
1993	0.5714	5	14	1	0	0	1
7808	0.569	9	11	1	0	1	1
5494	0.5635	6	14	1	1	0	0
6020	0.5622	15	10	0	0	1	1
4888	0.5619	7	10	1	1	1	1
8242	0.5576	5	11	1	1	1	0
6855	0.5538	13	10	1	1	0	0
3948	0.553	8	11	0	0	0	1
7176	0.5529	17	10	0	0	0	0
1128	0.55	6	10	1	0	0	1
5848	0.5488	9	11	0	0	1	1
4887	0.5444	9	10	0	0	1	1
5853	0.5357	7	12	1	1	0	0
6693	0.5317	20	10	0	0	1	1
6191	0.5233	20	10	0	1	0	0
7348	0.5212	5	11	1	0	0	1
3938	0.5212	11	10	0	1	0	0
4325	0.52	15	10	1	1	0	0
3080	0.5167	5	20	1	0	0	1
6376	0.4961	17	10	0	1	1	1
4522	0.4907	6	12	1	1	1	1
3017	0.4889	12	10	0	1	0	0
8004	0.4861	12	10	0	1	0	0
2238	0.4788	10	11	1	1	0	0
6542	0.4784	14	11	0	0	1	1
3041	0.4762	7	14	0	0	0	1
2504	0.4747	6	11	1	0	1	1
2493	0.4667	12	10	0	0	0	1
3260	0.4667	14	10	0	0	1	1
8071	0.463	18	10	0	1	1	0
6698	0.4606	10	11	1	0	0	1
8014	0.4601	11	11	0	1	1	0
6536	0.4578	15	10	0	0	0	0
6022	0.4573	11	11	1	0	1	1
7015	0.4569	17	10	0	1	1	1
1704	0.4556	9	10	1	0	1	1
3032	0.4487	8	13	0	0	0	1
5284	0.4424	5	11	1	0	1	1
6554	0.4387	9	13	0	0	1	1
4151	0.4365	7	12	1	1	1	0
7877	0.4333	17	10	0	1	0	0
6388	0.4306	10	12	0	1	1	1
8020	0.4271	8	12	1	1	0	0
5671	0.4182	5	11	1	0	0	1
5275	0.4143	14	10	0	1	1	0
6400	0.4087	6	14	0	1	1	1
6383	0.4077	11	11	0	1	0	1
3271	0.3981	12	12	0	0	1	1
2495	0.3917	8	10	0	0	0	1
3510	0.3905	14	10	0	0	0	0
4702	0.3872	13	10	1	0	0	0
1411	0.3853	7	11	1	0	0	1
3513	0.3846	13	11	0	0	0	1
6199	0.3818	10	11	0	1	1	1
5479	0.3766	7	11	0	0	0	1
