term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
33570	0.1111	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G15110', 'AT4G27700', 'AT4G37925', 'AT5G35170']	[10, 11, 12]	11	3
69153	0.1111	['AT2G18790', 'AT1G80380', 'AT1G14345', 'AT4G33010', 'AT1G03160', 'AT2G29180']	[16]	6	1
69359	0.1111	['AT1G22020', 'AT1G22450', 'AT1G56500', 'AT4G16155', 'AT4G27700', 'AT5G59250']	[16, 17, 18]	6	3
135678	0.1111	['AT1G14150', 'AT2G17630', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT4G37925']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	6	15
9752	0.1111	['AT1G03160', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT3G01440', 'AT4G37925']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	6	14
141136	0.1111	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	[29, 30, 31]	12	3
187467	0.1111	['AT5G02160', 'AT2G37230', 'AT2G21160', 'AT1G05385', 'AT1G30510', 'AT5G62720', 'AT3G53560', 'AT5G35170', 'AT3G25480', 'AT1G54790', 'AT2G01140', 'AT1G03850']	[47]	12	1
187469	0.1111	['AT5G08050', 'AT2G21160', 'AT1G05385', 'AT3G15360', 'AT1G30510', 'AT3G53560', 'AT5G62720', 'AT1G74070', 'AT4G39730', 'AT3G25480', 'AT5G35170', 'AT4G38100', 'AT2G01140', 'AT1G54790', 'AT1G03850']	[47]	15	1
187474	0.1111	['AT4G23890', 'AT4G13670', 'AT3G46780', 'AT2G42975', 'AT1G07510', 'AT5G52970', 'AT1G75690', 'AT1G50250', 'AT4G20820', 'AT4G38380', 'AT4G39960', 'AT2G35040', 'AT2G43010', 'AT1G06690', 'AT2G42220', 'AT4G24750', 'AT1G74710', 'AT4G16155', 'AT2G20270', 'AT3G60370', 'AT3G58010', 'AT2G40760', 'AT3G22690', 'AT1G51350', 'AT5G59250', 'AT5G21430', 'AT1G50460', 'AT5G23890', 'AT3G24590', 'AT5G19500', 'AT4G13010', 'AT1G55370', 'AT2G24020', 'AT1G52220', 'AT3G28850', 'AT1G22020', 'AT1G15820', 'AT2G22360', 'AT1G51110', 'AT1G15140', 'AT5G16150', 'AT5G16660', 'AT3G57680', 'AT3G15110', 'AT5G12470', 'AT1G29920', 'AT5G52780', 'AT5G13120', 'AT2G01918', 'AT3G10130', 'AT1G14590']	[47]	51	1
187477	0.1111	['AT4G24930', 'AT4G13670', 'AT2G01918', 'AT3G46780', 'AT1G15140', 'AT5G13120', 'AT2G42975', 'AT5G52970', 'AT1G07510', 'AT4G20820', 'AT1G50250', 'AT1G75690', 'AT4G39960', 'AT5G19500', 'AT2G43010', 'AT2G42220', 'AT4G24750', 'AT1G74710', 'AT3G10130', 'AT4G16155', 'AT2G20270', 'AT1G14590', 'AT3G60370', 'AT3G58010', 'AT4G38380', 'AT2G40760', 'AT3G22690', 'AT1G51350', 'AT5G16660', 'AT5G21430', 'AT1G50460', 'AT1G29920', 'AT2G35040', 'AT1G55370', 'AT4G13010', 'AT1G52220', 'AT3G28850', 'AT2G24020', 'AT5G16150', 'AT1G15820', 'AT2G22360', 'AT1G51110', 'AT5G59250', 'AT3G57680', 'AT3G24590', 'AT3G15110', 'AT5G52780', 'AT5G23890', 'AT5G12470', 'AT1G06690', 'AT1G22020']	[47]	51	1
