gene	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102
828608_841033	0.28	0.13	0.06	0.03	0.11	0.32	0.45	0.42	0.47	0.52	0.48	0.64	0.54	0.49	0.54	0.6	0.64	0.61	0.71	0.69	0.66	0.64	0.64	0.6	0.64	0.75	0.67	0.6	0.68	0.62	0.7	0.74	0.63	0.73	0.64	0.61	0.54	0.66	0.58	0.57	0.55	0.63	0.56	0.44	0.59	0.5	0.48	0.47	0.55	0.46	0.59	0.39	0.38	0.33
836043_830157	0	0	0	0.99	1	1	0.97	0.98	0.92	0.94	0.82	0.8	0.83	0.79	0.8	0.68	0.73	0.69	0.76	0.74	0.86	0.74	0.76	0.85	0.84	0.74	0.78	0.75	0.73	0.83	0.79	0.73	0.8	0.79	0.82	0.78	0.78	0.81	0.79	0.84	0.8	0.83	0.78	0.85	0.85	0.92	0.87	0.97	0.9	0.91	0.9	0.65	0.58	0.01
818672_816936	0.99	1	1	0.01	0.34	0.44	0.78	0.78	0.86	0.96	0.98	0.95	0.98	0.91	0.98	0.89	0.99	0.95	0.96	0.97	0.99	0.95	0.97	0.99	0.98	0.96	0.99	0.99	0.98	0.99	0.95	0.95	0.97	1	0.97	0.96	0.99	0.98	0.94	0.99	0.96	0.97	0.94	0.98	0.95	0.97	0.96	0.98	0.96	0.94	0.97	0.98	0.99	1
824937_830699	0	0	0	0.24	0.21	0.14	0.31	0.23	0.23	0.24	0.17	0.2	0.28	0.17	0.18	0.11	0.18	0.11	0.33	0.19	0.38	0.22	0.22	0.24	0.26	0.43	0.48	0.37	0.52	0.36	0.54	0.45	0.5	0.41	0.51	0.43	0.46	0.41	0.5	0.46	0.5	0.46	0.65	0.44	0.6	0.2	0.23	0.01	0.01	0	0	0	0	0
841900_831122	1	0.97	1	0	0	0	0.01	0	0	0	0.01	0.03	0.23	0.12	0.42	0.22	0.61	0.59	0.75	0.7	0.9	0.89	0.91	0.93	0.91	0.89	0.9	0.92	0.87	0.93	0.91	0.82	0.86	0.9	0.82	0.84	0.88	0.91	0.86	0.9	0.89	0.92	0.86	0.96	0.89	0.93	0.85	0.94	0.93	0.99	0.9	0.98	1	0.99
828213_844245	0.02	0	0	0.01	0.11	0.07	0.02	0.04	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.01	0	0.01	0.03	0.01	0.02	0	0.01
839392_841919	0	0	0	0.15	0.56	0.43	0.45	0.45	0.23	0.28	0.39	0.35	0.32	0.25	0.26	0.28	0.25	0.22	0.28	0.29	0.21	0.23	0.14	0.19	0.06	0.27	0.37	0.3	0.3	0.21	0.35	0.3	0.24	0.22	0.2	0.14	0.22	0.17	0.24	0.23	0.16	0.08	0.03	0.05	0.03	0.02	0.02	0	0.01	0.02	0	0.01	0	0
831528_818599	1	1	0.99	0.84	0.9	0.92	0.91	0.9	0.86	0.87	0.85	0.74	0.81	0.7	0.85	0.72	0.81	0.75	0.82	0.79	0.85	0.79	0.84	0.85	0.86	0.4	0.55	0.43	0.57	0.56	0.59	0.59	0.67	0.74	0.74	0.7	0.81	0.75	0.77	0.81	0.79	0.85	0.74	0.83	0.8	0.81	0.77	0.81	0.82	0.89	0.86	0.94	0.97	0.99
817499_828884	0.15	0.13	0.36	0.99	0.92	0.88	0.86	0.79	0.92	0.96	0.98	0.97	0.93	0.89	0.81	0.76	0.73	0.69	0.69	0.66	0.74	0.66	0.6	0.65	0.62	0.26	0.31	0.32	0.3	0.42	0.39	0.39	0.46	0.52	0.47	0.49	0.58	0.58	0.57	0.65	0.61	0.69	0.56	0.64	0.66	0.68	0.64	0.51	0.57	0.16	0.42	0.12	0.45	0.02
818903_840006	0	0	0	0.72	0.95	0.91	0.73	0.77	0.68	0.8	0.98	0.89	0.98	0.95	0.97	0.92	0.95	0.94	0.94	0.91	0.95	0.93	0.94	0.95	0.97	0.92	0.93	0.94	0.94	0.93	0.92	0.88	0.9	0.93	0.87	0.86	0.95	0.93	0.91	0.91	0.91	0.93	0.89	0.98	0.93	0.87	0.82	0.2	0.46	0	0	0	0	0
