Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
184798	0.0516	7	12	1	1	1	1
28759	0.0516	12	14	1	0	0	1
33846	0.0513	13	13	1	0	0	1
134220	0.0513	13	14	0	0	0	0
69766	0.0513	12	13	0	0	0	1
75125	0.0513	6	13	1	1	0	1
23469	0.0513	9	13	0	0	0	1
187725	0.0513	8	13	0	1	1	1
56819	0.0513	9	13	1	0	0	0
28554	0.0513	10	13	0	0	1	1
69356	0.0512	29	11	0	0	0	1
165266	0.0511	15	10	1	1	1	0
133155	0.0511	8	31	1	1	1	1
70620	0.051	10	17	1	0	0	1
28378	0.0509	12	12	0	0	0	1
23691	0.0506	8	14	1	1	0	0
33480	0.0505	6	11	1	0	1	1
165327	0.0505	18	11	0	1	1	1
166813	0.0505	11	18	0	1	1	0
148367	0.0505	15	11	1	0	1	1
184650	0.0505	11	12	0	1	1	0
187568	0.0505	11	12	0	1	1	1
51035	0.0504	17	14	1	0	0	1
168643	0.05	20	10	0	0	0	0
39003	0.05	5	12	1	0	0	1
23051	0.05	10	10	0	0	1	1
158904	0.05	12	10	0	1	1	0
126165	0.05	8	20	0	0	0	0
132115	0.0499	9	26	0	1	1	1
155885	0.0498	11	14	1	0	0	0
188899	0.0498	11	14	1	1	0	1
188232	0.0494	9	12	0	1	1	1
86693	0.0492	8	11	0	1	0	0
165272	0.0491	19	10	0	1	1	0
71218	0.0491	5	19	1	0	0	1
24620	0.0491	5	19	1	0	0	0
28556	0.049	11	13	1	0	1	1
74409	0.0489	30	10	1	0	0	1
131701	0.0486	10	24	0	1	1	1
45098	0.0484	17	15	0	0	0	1
142264	0.0481	9	20	0	0	0	0
87925	0.0481	6	15	1	0	0	0
39880	0.0481	13	16	0	0	0	1
39901	0.0481	13	16	0	0	0	1
63381	0.0481	26	12	0	0	0	1
33570	0.048	11	12	0	1	1	0
184511	0.048	12	11	0	1	1	0
157025	0.0478	11	19	0	1	1	1
134102	0.0476	14	12	0	0	0	0
5582	0.0476	7	10	1	0	0	0
169458	0.0476	11	14	0	0	0	0
100298	0.0476	7	12	1	0	0	0
180873	0.0476	7	18	1	0	1	1
51067	0.0476	7	14	1	0	0	1
152411	0.0476	8	14	1	1	1	0
125139	0.0476	6	14	1	0	0	0
130910	0.0476	10	21	0	1	0	1
74393	0.0474	19	10	0	0	0	1
172135	0.0473	16	11	1	1	1	1
126510	0.0473	8	22	0	0	0	0
130237	0.0473	11	16	0	1	1	1
126933	0.0472	5	24	1	0	0	1
33331	0.0471	17	10	0	0	1	1
172687	0.047	12	13	0	1	1	1
168876	0.047	13	12	0	0	0	0
156246	0.0469	12	16	0	0	0	0
130620	0.0468	9	19	0	1	0	1
35800	0.0464	5	23	1	1	0	0
39088	0.0463	15	12	1	0	0	1
183313	0.0463	6	12	1	1	0	1
19318	0.0462	5	13	1	1	1	1
28158	0.0462	13	10	0	0	0	1
28160	0.0462	13	10	1	0	0	1
69354	0.046	29	11	1	0	0	1
745	0.0459	6	23	1	0	0	0
81669	0.0458	10	16	1	1	1	1
184069	0.0458	6	17	1	1	1	1
