term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
139983	0.0611	1	816270,837778,818343,844343,832057,831861,816545,844010,820041,830754,817499,817620,839566,843095,838362,838259,839433,819107	85	94	18	10
131358	0.0606	2	838362,839566,843095,817499,817620	82	92	5	11
114671	0.0606	8	841468,841558,818069,820827,822517,823831,827307,831472,832070,835398,836043	76	99	11	24
21259	0.0606	2	838362,839642,841467,841892,842833,843110,843827,844230,816651,816692,818316,829966	57	67	12	11
143149	0.06	3	841468,841558,841652,818069,820827,822517,823831,827307,835398,836043	86	100	10	15
137890	0.0598	3	838807,838851,841468,841558,843903,818069,820827,822132,822517,823831,827307,835398,836043	84	98	13	15
156348	0.0598	1	839433,839566,837996,838259,843095,816545,817499,819107,820041	93	105	9	13
50670	0.0595	3	840894,816768,820775,825208,827001,828884,835398	63	74	7	12
107515	0.0593	2	838807,841558,820827,822132,822517,823831,827307,835398,836043	74	98	9	25
25463	0.0593	10	838851,841558,843903,822517,827307	57	110	5	54
30820	0.0592	2	839566,837974,838455,843095,816545,817499,817620,821143,820041,820741,828884,3770591,833471	59	71	13	13
145393	0.0584	4	841468,841558,841652,816768,818069,820827,822517,823831,827307,835398,836043	87	100	11	14
107810	0.0582	3	841468,841558,820827,823831,827307,835398,836043	74	100	7	27
37056	0.058	4	839566,837974,843095,816545,817499,817620,818343,819107,821143,820041,820741,3770591,833471,834232	60	75	14	16
113513	0.057	4	838807,838851,841468,841558,841892,816768,818069,820827,822132,822517,823831,824970,827307,829995,831472,831528,832070,835398,836043	76	91	19	16
32030	0.0564	4	839566,837996,843095,816545,817620,818343,821143,820741	59	75	8	17
144956	0.0563	1	816270,818343,831861,832057,816545,820041,837778,844343,844010,818599,843095,817499,838259,817620,819107,839433	87	96	16	10
144960	0.0563	1	816270,818343,831861,832057,816545,820041,837778,844343,844010,830754,817499,843095,838259,817620,839433,819107	87	96	16	10
107775	0.0561	5	841468,818069,820827,823831,831472,832070,835398,836043	74	99	8	26
100146	0.056	3	838807,838851,841558,843903,820827,822517,827307,836043	72	100	8	29
141790	0.0556	5	839433,838259,843095,816545,817499,819107	85	106	6	22
50669	0.0556	3	840894,816768,820775,825208,828884,831122,835398	63	74	7	12
149405	0.0556	1	816270,832057,837778,818343,844343,838259,831861,843095,817499,817620,816545,819107,820041,839433,818599	89	98	15	10
149406	0.0556	1	816270,832057,837778,818343,844343,838259,831861,843095,817499,817620,816545,819107,820041,839433,830754	89	98	15	10
149408	0.0556	1	816270,832057,837778,818343,844343,838259,831861,844010,818599,3770591,817620,839433,820041,816545,819107	89	98	15	10
149409	0.0556	1	816270,832057,837778,818343,844343,838259,831861,844010,818599,817499,819107,820041,817620,816545,839433	89	98	15	10
