term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	windowSize
TPO:48283	0.0234	2	AT1G02560,AT1G03160,AT1G12250,AT1G14150,AT1G18730,AT1G27510,AT1G54050,AT1G55370,AT1G67700,AT1G72640,AT1G74710,AT1G76760,AT1G80030,AT2G01918,AT2G17630,AT2G20260,AT2G26800,AT2G27290,AT2G29500,AT2G30695,AT2G30950,AT2G37660,AT2G40100,AT2G40400,AT2G41330,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT3G47060,AT4G04020,AT4G18370,AT4G23890,AT4G24750,AT4G37925,AT4G39960,AT5G01500,AT5G02160,AT5G03455,AT5G13120,AT5G15250,AT5G19370,AT5G20140,AT5G23890,AT5G35170,AT5G39830,AT5G42270,AT5G52780	63	73	48	11
TPO:98325	0.0054	7	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G66670,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G35770,AT4G39730,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	29	19
TPO:73751	0.0167	2	AT1G06690,AT1G17850,AT1G31180,AT1G42960,AT1G52220,AT1G67280,AT2G40760,AT3G10130,AT3G10470,AT3G22690,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G52970	67	78	15	12
TPO:73753	0.0114	2	AT1G06690,AT1G17850,AT1G31180,AT1G42960,AT1G52220,AT1G67280,AT2G24020,AT2G40760,AT3G10130,AT3G15360,AT3G22690,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G42070,AT5G52970	67	78	17	12
TPO:163866	0.0139	3	AT1G12250,AT1G14150,AT1G80030,AT2G17630,AT2G26800,AT2G37660,AT2G40100,AT3G01440,AT4G04020,AT4G18370,AT5G19370,AT5G42070	95	110	12	16
TPO:73755	0.0114	3	AT1G06690,AT1G17850,AT1G31180,AT1G42960,AT1G52220,AT2G22360,AT2G24020,AT2G40760,AT3G10130,AT3G15360,AT3G22690,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G42070,AT5G52970	67	78	17	12
TPO:98332	0.0054	7	AT1G06690,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01900,AT4G35770,AT5G12470,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	29	19
TPO:98333	0.0078	7	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G55370,AT1G67280,AT1G74710,AT2G24020,AT2G27290,AT2G37230,AT2G40760,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G35770,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:122911	0.0114	4	AT1G07510,AT1G15140,AT1G20810,AT1G22020,AT1G50250,AT1G50460,AT1G54500,AT2G22360,AT2G35040,AT2G42220,AT2G42975,AT3G24590,AT3G53560,AT3G58010,AT3G60370,AT4G13010,AT4G38380,AT4G39460,AT4G39730,AT5G16150,AT5G16660,AT5G19500,AT5G21430	76	89	23	14
TPO:98336	0.0205	5	AT1G17850,AT1G52220,AT1G55370,AT2G27290,AT4G13670,AT4G24750	71	89	6	19
TPO:133808	0.0094	7	AT1G07510,AT1G15140,AT1G50250,AT1G50460,AT2G22360,AT2G24020,AT2G35040,AT2G42220,AT2G42975,AT2G43010,AT3G15840,AT3G24590,AT3G46780,AT3G58010,AT4G13010,AT4G13670,AT4G38380,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430	79	99	22	21
TPO:163876	0.0144	3	AT1G12250,AT1G14150,AT1G80030,AT2G17630,AT2G26800,AT2G37660,AT2G40100,AT3G01440,AT4G04020,AT4G37925,AT5G01500,AT5G19370,AT5G42070	95	110	13	16
TPO:98341	0.0065	6	AT1G06690,AT1G10170,AT1G15820,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G74710,AT2G24020,AT2G37230,AT2G40760,AT2G43010,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT4G35770,AT4G39730,AT5G23890,AT5G42070,AT5G42765,AT5G52970	71	89	27	19
TPO:98342	0.0097	7	AT1G17850,AT1G55370,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT4G13670,AT4G24750,AT5G42070	71	89	9	19
TPO:57383	0.0064	3	AT1G06690,AT1G07510,AT1G10170,AT1G15820,AT1G23740,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G37230,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT5G21430,AT5G42070,AT5G52970	64	86	18	23
TPO:163880	0.0089	3	AT1G12250,AT1G14150,AT1G80030,AT2G17630,AT2G37660,AT2G40100,AT2G44990,AT4G04020,AT5G01500,AT5G19370,AT5G42070	95	111	11	17
TPO:116060	0.0748	5	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT5G53170	74	99	6	26
TPO:78017	0.0058	4	AT1G07510,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT3G57680,AT3G60370,AT4G13010,AT4G13670,AT5G12470,AT5G21430,AT5G52970	67	98	18	32
TPO:139308	0.0091	2	AT2G26800,AT3G01440,AT4G04020,AT4G23890,AT5G20140	81	102	5	22
TPO:113330	0.0303	2	AT1G02560,AT1G03090,AT1G14150,AT1G14345,AT1G27510,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT3G47060,AT4G37925,AT5G35170	74	84	13	11
TPO:124253	0.0152	7	AT1G22020,AT1G50460,AT2G22360,AT2G35040,AT2G42220,AT2G42975,AT3G15840,AT3G46780,AT3G58010,AT4G13010,AT4G38380,AT5G16150,AT5G16660,AT5G19500	76	100	14	25
TPO:114696	0.0057	3	AT1G15140,AT1G20810,AT1G42960,AT1G50250,AT1G79230,AT3G26080,AT3G53560,AT4G24930,AT4G39730,AT5G12470,AT5G53490	74	89	11	16
TPO:163890	0.0154	3	AT1G02560,AT1G03160,AT1G12250,AT1G14345,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G37660,AT2G40100,AT2G44990,AT5G01500,AT5G19370	95	111	14	17
TPO:57395	0.0174	3	AT1G42960,AT2G22360,AT4G13670,AT4G35770,AT5G52970	64	86	5	23
TPO:163894	0.0136	3	AT1G02560,AT1G12250,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G37660,AT2G40100,AT2G44990,AT5G01500,AT5G19370,AT5G42070	95	111	13	17
TPO:163897	0.0071	4	AT1G12250,AT1G14150,AT1G80030,AT2G17630,AT2G26800,AT2G37660,AT2G40100,AT4G04020,AT4G18370,AT5G19370,AT5G42070	95	111	11	17
TPO:16443	0.0123	3	AT1G02560,AT2G17630,AT2G26800,AT2G40100,AT2G44990,AT5G13120,AT5G39830,AT5G42270,AT5G52780	56	70	9	15
TPO:163903	0.0294	3	AT1G02560,AT1G03160,AT1G14345,AT1G67700,AT2G20260,AT2G29500,AT2G44990,AT5G42270	95	111	8	17
TPO:16449	0.0148	3	AT1G02560,AT2G17630,AT2G26800,AT2G37660,AT2G40100,AT2G44990,AT5G35170,AT5G42270,AT5G52780	56	70	9	15
TPO:147522	0.011	6	AT1G15140,AT1G50250,AT1G50460,AT1G51350,AT1G52220,AT2G22360,AT2G35040,AT2G42220,AT2G42975,AT3G58010,AT4G13010,AT4G16155,AT4G38380,AT5G16150,AT5G16660,AT5G19500,AT5G21430	84	108	17	25
TPO:90179	0.0056	8	AT1G55370,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT4G24750	69	108	6	40
TPO:146102	0.0243	3	AT1G07510,AT1G15140,AT1G22020,AT1G50250,AT1G50460,AT1G51350,AT1G52220,AT2G22360,AT2G35040,AT2G42220,AT2G42975,AT3G15840,AT3G24590,AT3G46780,AT3G58010,AT4G13010,AT4G13670,AT4G16155,AT4G38380,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G53170	84	99	24	16
TPO:165217	0.0152	5	AT1G06690,AT1G12250,AT1G14150,AT1G17850,AT1G18730,AT1G29920,AT1G42960,AT1G54050,AT1G54580,AT1G66670,AT1G67280,AT1G72640,AT1G80030,AT2G17630,AT2G26800,AT2G27290,AT2G30950,AT2G37660,AT2G40100,AT2G40760,AT2G41330,AT2G44990,AT3G10470,AT3G22690,AT3G26580,AT3G47060,AT3G55330,AT3G57680,AT4G04020,AT4G13670,AT4G18370,AT4G31560,AT4G35770,AT4G39460,AT5G01500,AT5G03455,AT5G12470,AT5G13120,AT5G15250,AT5G19370,AT5G20140,AT5G39830,AT5G42070,AT5G53170	98	111	44	14
TPO:81933	0.0069	3	AT1G06690,AT1G14590,AT1G17850,AT1G31180,AT1G66670,AT1G67280,AT2G27290,AT2G40760,AT3G10130,AT3G10470,AT3G22690,AT3G26580,AT4G31560,AT4G35770,AT5G23890,AT5G42070,AT5G42765	68	87	17	20
TPO:147537	0.0063	6	AT1G15140,AT1G50250,AT1G50460,AT1G52220,AT2G22360,AT2G24020,AT2G42220,AT2G42975,AT3G46780,AT3G58010,AT4G13010,AT4G16155,AT4G38380,AT5G16150,AT5G16660,AT5G19500,AT5G21430	84	108	17	25
TPO:163922	0.0193	1	AT2G17630,AT2G37660,AT1G80030,AT5G53170,AT5G39830,AT3G10470,AT2G30695,AT4G31560,AT1G66670,AT3G47060,AT1G76760,AT1G54050,AT4G18370,AT1G14150,AT2G26800,AT3G26580,AT1G54580,AT3G01440,AT4G04020	96	105	19	10
TPO:163924	0.0071	1	AT4G13670,AT2G01918,AT3G15110,AT3G22690,AT2G40760,AT5G12470,AT3G57680,AT4G39960,AT2G43010,AT2G20270,AT1G07510,AT4G20820,AT1G74710,AT1G55370,AT5G13120,AT1G06690,AT1G67280,AT3G10130,AT1G10170,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT5G42765,AT5G52780,AT1G14590,AT3G55330,AT4G24750,AT4G35770,AT5G03455,AT3G60370,AT5G23890,AT1G15820,AT1G76760,AT5G39830,AT3G10470,AT2G30950,AT5G20140,AT5G53170,AT4G31560,AT1G66670,AT3G47060,AT1G42960,AT1G54050,AT4G18370,AT4G01050,AT1G18730,AT1G72640,AT5G15250,AT1G54580,AT3G01440,AT3G26580	96	105	52	10
TPO:163925	0.0068	1	AT4G13670,AT2G01918,AT3G15110,AT3G22690,AT2G40760,AT5G12470,AT3G57680,AT4G39960,AT2G43010,AT2G20270,AT1G07510,AT4G20820,AT1G74710,AT1G55370,AT5G13120,AT1G06690,AT1G67280,AT3G10130,AT1G10170,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT5G42765,AT5G52780,AT1G14590,AT3G55330,AT4G24750,AT4G35770,AT5G03455,AT3G60370,AT5G23890,AT1G15820,AT5G52970,AT3G58010,AT2G35040,AT3G24590,AT5G53170,AT5G39830,AT3G10470,AT2G30950,AT5G20140,AT4G31560,AT1G66670,AT3G47060,AT1G42960,AT1G54050,AT4G18370,AT4G01050,AT1G72640,AT3G26580,AT1G18730,AT5G15250,AT1G54580	96	105	54	10
TPO:162489	0.0152	2	AT1G06690,AT1G07510,AT1G10170,AT1G15820,AT1G17850,AT1G29920,AT1G42960,AT1G55370,AT1G67280,AT1G74710,AT2G20270,AT2G27290,AT2G35040,AT2G40760,AT2G43010,AT3G10130,AT3G15110,AT3G22690,AT3G55330,AT3G57680,AT3G60370,AT4G13670,AT4G20820,AT4G23890,AT4G24750,AT4G35770,AT4G39460,AT4G39960,AT5G12470,AT5G13120,AT5G23890,AT5G52780,AT5G52970,AT5G53170	94	104	34	11
TPO:42521	0.0069	2	AT1G12250,AT1G54050,AT1G55370,AT1G67280,AT1G72640,AT1G74710,AT1G76760,AT1G80030,AT2G27290,AT2G30950,AT2G40400,AT4G04020,AT4G18370,AT4G24750,AT4G39960,AT5G01500,AT5G02160,AT5G15250,AT5G19370,AT5G20140,AT5G23890,AT5G42765	62	72	22	11
TPO:163931	0.0072	1	AT4G13670,AT2G01918,AT3G15110,AT3G22690,AT2G40760,AT5G12470,AT3G57680,AT4G39960,AT2G43010,AT2G20270,AT1G07510,AT4G20820,AT1G74710,AT1G55370,AT5G13120,AT1G06690,AT1G67280,AT3G10130,AT1G10170,AT4G39460,AT2G27290,AT1G17850,AT1G29920,AT5G42765,AT5G52780,AT1G14590,AT3G55330,AT4G24750,AT4G35770,AT5G03455,AT2G30695,AT5G39830,AT3G10470,AT2G30950,AT5G20140,AT5G53170,AT4G31560,AT1G66670,AT3G47060,AT2G26800,AT1G76760,AT1G42960,AT4G18370,AT1G54050,AT4G01050,AT1G18730,AT1G72640,AT5G15250,AT1G54580,AT3G01440,AT3G26580	96	105	51	10
TPO:163932	0.0081	1	AT4G13670,AT2G01918,AT3G15110,AT3G22690,AT2G40760,AT5G12470,AT3G57680,AT4G04020,AT3G10470,AT5G53170,AT4G31560,AT1G42960,AT1G54580,AT5G39830,AT3G10130,AT1G10170,AT1G66670,AT4G35770,AT1G06690,AT1G54050,AT1G67280,AT4G01050,AT4G39460,AT2G27290,AT5G15250,AT1G29920,AT2G26800,AT5G42765,AT2G30950,AT5G20140,AT1G14590,AT2G30695,AT3G55330,AT3G47060,AT5G13120,AT1G76760,AT4G18370,AT4G24750,AT1G18730,AT5G03455,AT5G52780,AT3G26580,AT1G72640,AT3G01440,AT1G17850	96	105	45	10
TPO:163933	0.02	1	AT5G02160,AT2G37230,AT2G21160,AT4G38100,AT1G30510,AT3G53560,AT5G62720,AT1G74070,AT1G05385,AT3G25480,AT5G35170,AT5G08050,AT2G01140,AT1G54790,AT1G03850	96	105	15	10
TPO:163935	0.0096	1	AT1G14150,AT4G04020,AT1G76760,AT3G01440,AT2G26800,AT3G10470,AT2G30695,AT3G26580,AT4G18370,AT4G31560,AT1G54580,AT5G39830,AT1G54050,AT3G47060,AT1G66670,AT5G53170,AT1G42960,AT5G20140,AT1G29920,AT1G72640,AT5G42765,AT2G30950,AT1G14590,AT3G10130,AT1G10170,AT3G55330,AT5G15250,AT4G35770,AT5G13120,AT4G39460,AT4G24750,AT1G18730,AT5G03455,AT5G52780,AT2G27290,AT1G17850,AT1G67280,AT1G06690	96	105	38	10
TPO:163936	0.2143	1	AT2G18790,AT1G80380,AT5G42270,AT1G16880,AT2G29180,AT3G08920,AT1G14345	96	105	7	10
TPO:163937	0.2722	1	AT2G18790,AT1G80380,AT5G42270,AT1G16880,AT2G29180,AT4G33010	96	105	6	10
TPO:163938	0.0333	1	AT1G67840,AT1G20810,AT1G21750,AT1G50450,AT1G16790,AT2G37400,AT4G19830,AT1G74880,AT1G54500,AT1G78915,AT3G15840,AT1G65260,AT1G03090,AT2G21530	96	105	14	10
TPO:163939	0.0354	1	AT5G08050,AT1G05385,AT3G15360,AT2G21160,AT2G37230,AT1G30510,AT3G53560,AT5G62720,AT1G74070,AT4G39730,AT3G25480,AT5G35170,AT4G38100,AT2G01140,AT1G54790,AT1G03850	96	105	16	10
TPO:163940	0.0472	1	AT1G21750,AT1G20810,AT1G16790,AT2G37400,AT4G19830,AT1G54500,AT1G78915,AT3G15840,AT1G65260,AT4G38100,AT3G15360,AT4G39730	96	105	12	10
TPO:12824	0.012	3	AT1G02560,AT1G12250,AT1G17850,AT1G52220,AT1G54050,AT1G55370,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT1G76760,AT1G79230,AT1G80030,AT2G17630,AT2G20270,AT2G27290,AT2G30950,AT2G35040,AT2G40100,AT3G10130,AT3G10470,AT3G26580,AT4G04020,AT4G13670,AT4G19830,AT4G39960,AT5G01500,AT5G03455,AT5G13120,AT5G15250,AT5G19370,AT5G23890,AT5G39830,AT5G42070,AT5G42270,AT5G42765,AT5G52440	55	66	37	12
TPO:163943	0.1611	1	AT1G03160,AT2G29180,AT3G08920,AT1G16880,AT5G42270,AT1G14345	96	105	6	10
TPO:163944	0.0196	1	AT3G53560,AT3G15360,AT1G05385,AT1G30510,AT2G21160,AT5G62720,AT1G74070,AT4G38100,AT4G39730,AT5G35170,AT3G25480,AT1G54790,AT1G03850,AT2G01140,AT3G15840,AT1G54500,AT4G19830	96	105	17	10
TPO:163945	0.0378	1	AT3G15840,AT1G54500,AT4G19830,AT3G15360,AT1G74070,AT5G62720,AT4G39730,AT2G01140,AT3G25480,AT4G38100,AT1G78915,AT1G20810,AT1G65260,AT1G16790,AT2G37400	96	105	15	10
TPO:163946	0.03	1	AT3G15840,AT1G54500,AT4G19830,AT3G15360,AT2G41330,AT1G78915,AT1G20810,AT1G65260,AT1G16790,AT2G37400	96	105	10	10
TPO:163947	0.006	1	AT1G22450,AT3G46780,AT2G42975,AT5G52970,AT3G58010,AT1G75690,AT5G19500,AT2G42220,AT5G59250,AT1G15140,AT2G35040,AT4G16155,AT4G13010,AT2G24020,AT1G52220,AT3G28850,AT1G22020,AT1G50250,AT4G38380,AT2G22360,AT1G51110,AT5G16150,AT1G51350,AT5G21430,AT4G23890,AT5G16660,AT1G50460,AT3G24590	96	105	28	10
TPO:94226	0.006	3	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G55330,AT3G57680,AT3G60370,AT4G13010,AT4G13670,AT5G12470,AT5G16660,AT5G21430,AT5G52970	70	98	23	29
TPO:122483	0.0058	3	AT1G06690,AT1G10170,AT1G14590,AT1G17850,AT1G23740,AT1G29920,AT1G30510,AT1G31180,AT1G52220,AT1G54580,AT1G55370,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT1G79450,AT2G20270,AT2G27290,AT2G37230,AT2G40400,AT2G40760,AT3G10130,AT3G15360,AT3G22690,AT3G26580,AT3G55330,AT3G57680,AT4G01050,AT4G01900,AT4G20820,AT4G24750,AT4G31560,AT4G35770,AT5G03455,AT5G23890,AT5G42070,AT5G42765,AT5G52970	76	87	38	12
TPO:124265	0.0629	7	AT1G50460,AT2G35040,AT3G15840,AT3G46780,AT5G16150,AT5G19500,AT5G53170	76	100	7	25
TPO:123001	0.0058	5	AT1G07510,AT1G10170,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G52220,AT1G74710,AT1G79230,AT1G79450,AT2G20270,AT2G22360,AT2G24020,AT2G37230,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT3G60370,AT4G13010,AT4G13670,AT4G20820,AT4G39460,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	76	90	38	15
TPO:124266	0.0911	4	AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT4G16155,AT5G53170	76	100	6	25
TPO:8320	0.0159	5	AT1G55370,AT1G72640,AT1G74710,AT1G80030,AT5G01500,AT5G15250,AT5G19370	53	73	7	21
TPO:163969	0.0195	2	AT1G03850,AT1G05385,AT1G30510,AT1G54790,AT1G74070,AT2G01140,AT2G21160,AT2G37230,AT3G25480,AT3G53560,AT4G38100,AT5G08050,AT5G35170,AT5G62720	96	106	14	11
TPO:114818	0.0064	5	AT1G07510,AT1G10170,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G52220,AT1G74710,AT1G79230,AT1G79450,AT2G20270,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT3G60370,AT4G13010,AT4G13670,AT4G20820,AT4G39460,AT4G39730,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	74	90	37	17
TPO:165227	0.0179	5	AT1G22020,AT1G50460,AT1G51110,AT1G51350,AT1G52220,AT1G55370,AT1G75690,AT2G22360,AT2G24020,AT3G28850,AT3G46780,AT4G13010,AT4G16155,AT5G21430,AT5G52440,AT5G59250	98	111	16	14
TPO:163972	0.037	2	AT1G16790,AT1G20810,AT1G21750,AT1G54500,AT1G65260,AT1G78915,AT2G37400,AT3G15840,AT4G19830	96	106	9	11
TPO:163973	0.039	2	AT1G03090,AT1G16790,AT1G21750,AT1G65260,AT1G78915,AT2G37400,AT4G19830	96	106	7	11
TPO:8326	0.0106	4	AT1G12250,AT1G55370,AT1G76760,AT1G80030,AT2G27290,AT2G30950,AT4G04020,AT4G39960,AT5G42765	53	73	9	21
TPO:163975	0.0051	1	AT1G07510,AT1G15140,AT1G15820,AT1G50250,AT1G50460,AT1G51110,AT1G51350,AT1G52220,AT1G55370,AT1G74710,AT1G75690,AT2G20270,AT2G22360,AT2G24020,AT2G35040,AT2G40760,AT2G42220,AT2G42975,AT2G43010,AT3G15110,AT3G22690,AT3G24590,AT3G28850,AT3G46780,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G13670,AT4G16155,AT4G20820,AT4G23890,AT4G38380,AT4G39960,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G23890,AT5G52970,AT5G59250	96	106	42	11
TPO:114824	0.0053	4	AT1G07510,AT1G10170,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G52220,AT1G74710,AT1G79230,AT1G79450,AT2G20270,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G55330,AT3G57680,AT3G60370,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G39460,AT4G39730,AT5G12470,AT5G21430,AT5G23890,AT5G42765,AT5G52970	74	90	37	17
TPO:165228	0.0061	2	AT1G06690,AT1G07510,AT1G15140,AT1G15820,AT1G17850,AT1G18730,AT1G29920,AT1G51110,AT1G51350,AT1G52220,AT1G54050,AT1G54580,AT1G55370,AT1G66670,AT1G67280,AT1G72640,AT1G74710,AT1G75690,AT2G20270,AT2G22360,AT2G24020,AT2G27290,AT2G30950,AT2G35040,AT2G40760,AT2G43010,AT3G15110,AT3G22690,AT3G26580,AT3G28850,AT3G46780,AT3G47060,AT3G55330,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G13670,AT4G16155,AT4G20820,AT4G31560,AT4G35770,AT4G38380,AT4G39460,AT5G03455,AT5G12470,AT5G13120,AT5G16150,AT5G16660,AT5G19500,AT5G20140,AT5G21430,AT5G39830,AT5G52970,AT5G59250	98	111	55	14
TPO:28695	0.0087	7	AT1G22020,AT1G51350,AT1G75690,AT2G42220,AT3G25480,AT3G28850,AT3G58010,AT4G38380,AT5G19500	59	75	9	17
TPO:114828	0.0067	3	AT1G07510,AT1G10170,AT1G15140,AT1G15820,AT1G20810,AT1G23740,AT1G29920,AT1G30510,AT1G42960,AT1G50250,AT1G52220,AT1G79450,AT2G22360,AT2G24020,AT2G37230,AT2G42220,AT2G42975,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G57680,AT3G58010,AT3G60370,AT4G13010,AT4G13670,AT4G20820,AT4G38380,AT4G39460,AT4G39730,AT5G12470,AT5G16150,AT5G16660,AT5G21430,AT5G52970	74	90	35	17
TPO:42349	0.0157	1	AT2G17630,AT4G27700,AT2G40100,AT3G47060,AT5G39830,AT2G30950,AT1G74710,AT1G55370,AT5G02160,AT5G13120,AT1G12250,AT1G54050,AT5G19370,AT4G39960,AT1G72640,AT5G15250,AT5G01500	62	71	17	10
TPO:49297	0.0074	1	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G42960,AT1G50250,AT2G24020,AT2G42975,AT3G15360,AT3G24590,AT3G55330,AT4G13010,AT5G12470,AT5G16660,AT5G21430	63	77	15	15
