term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
100112	1.0	11	AT1G07510,AT1G15820,AT1G50250,AT2G24020,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G57680,AT4G13010,AT4G13670,AT4G20820,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	71	100	17	30
100270	1.0	11	AT1G07510,AT1G15820,AT1G29920,AT1G74710,AT2G24020,AT2G40760,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G57680,AT4G13670,AT4G20820,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	71	101	18	31
100287	1.0	10	AT1G07510,AT1G15820,AT1G29920,AT1G74710,AT2G24020,AT2G40760,AT2G43010,AT3G15360,AT3G22690,AT3G24590,AT3G57680,AT4G13670,AT4G20820,AT5G12470,AT5G23890,AT5G52970	71	101	16	31
133119	1.0	5	AT1G15820,AT1G29920,AT1G30510,AT2G24020,AT2G37230,AT2G43010,AT3G53560,AT5G12470,AT5G52970,AT5G53490	79	92	10	14
100676	1.0	12	AT1G07510,AT1G15820,AT1G23740,AT1G29920,AT1G74710,AT2G24020,AT2G40760,AT2G42975,AT2G43010,AT3G24590,AT3G57680,AT4G20820,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	71	102	17	32
101118	1.0	13	AT1G07510,AT1G15820,AT1G29920,AT1G74710,AT2G24020,AT2G40760,AT2G42975,AT2G43010,AT3G24590,AT3G57680,AT4G20820,AT4G24930,AT5G12470,AT5G23890,AT5G52970	71	105	15	35
133976	1.0	6	AT1G07510,AT1G15140,AT1G15820,AT1G50250,AT1G79230,AT2G24020,AT2G35040,AT2G42220,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G23890,AT5G52970	79	100	24	22
134002	1.0	9	AT1G07510,AT1G15820,AT1G29920,AT1G55370,AT1G74710,AT1G79230,AT2G20270,AT2G24020,AT2G40760,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G57680,AT4G13670,AT4G20820,AT4G24930,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	79	100	22	22
134005	1.0	6	AT1G07510,AT1G15140,AT1G15820,AT1G50250,AT1G79230,AT2G20270,AT2G24020,AT2G35040,AT2G42975,AT2G43010,AT3G15360,AT3G24590,AT3G57680,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT5G12470,AT5G16660,AT5G21430,AT5G23890,AT5G52970	79	100	23	22
134093	1.0	7	AT1G07510,AT1G15140,AT1G15820,AT1G50250,AT2G24020,AT2G35040,AT2G42975,AT2G43010,AT3G24590,AT3G58010,AT4G13010,AT4G13670,AT4G20820,AT4G24930,AT4G38380,AT5G12470,AT5G16150,AT5G16660,AT5G19500,AT5G21430,AT5G23890,AT5G52970	79	101	22	23
