term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
118096	0.0016	['AT1G50250', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT4G13010', 'AT4G20820', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430']	[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]	13	25
118116	0.0016	['AT1G50250', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430']	[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]	13	25
118147	0.0016	['AT1G07510', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT4G13010', 'AT4G20820', 'AT4G24930', 'AT4G38380', 'AT5G12470', 'AT5G16660']	[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]	13	25
185918	0.0016	['AT1G06690', 'AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT1G50460', 'AT1G52220', 'AT1G55370', 'AT1G74710', 'AT2G20270', 'AT2G24020', 'AT2G35040', 'AT2G40760', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G10130', 'AT3G15110', 'AT3G22690', 'AT3G24590', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24750', 'AT4G24930', 'AT4G38380', 'AT4G39960', 'AT5G12470', 'AT5G13120', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430', 'AT5G23890', 'AT5G52970']	[45, 46, 47]	39	3
187917	0.0016	['AT1G06690', 'AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT1G51110', 'AT1G51350', 'AT1G52220', 'AT1G55370', 'AT1G74710', 'AT2G20270', 'AT2G24020', 'AT2G35040', 'AT2G40760', 'AT2G42975', 'AT2G43010', 'AT3G15110', 'AT3G22690', 'AT3G28850', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G38380', 'AT5G12470', 'AT5G13120', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G52970']	[47, 48, 49, 50, 51]	33	5
57329	0.0016	['AT1G02560', 'AT1G12250', 'AT1G14150', 'AT1G18730', 'AT1G27510', 'AT1G55370', 'AT1G72640', 'AT1G74710', 'AT2G17630', 'AT2G20270', 'AT2G26800', 'AT2G27290', 'AT2G30950', 'AT2G40100', 'AT2G40400', 'AT2G41330', 'AT2G44990', 'AT3G47060', 'AT4G04020', 'AT4G18370', 'AT4G23890', 'AT4G24750', 'AT4G37925', 'AT4G39960', 'AT5G02160', 'AT5G03455', 'AT5G13120', 'AT5G15250', 'AT5G20140', 'AT5G23890', 'AT5G35170', 'AT5G39830', 'AT5G52780']	[14, 15, 16, 17, 18]	33	5
123752	0.0016	['AT1G07510', 'AT1G15820', 'AT1G50250', 'AT2G24020', 'AT2G42220', 'AT2G42975', 'AT3G24590', 'AT3G60370', 'AT4G13010', 'AT5G16660', 'AT5G21430', 'AT5G23890', 'AT5G52970']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	13	25
55906	0.0016	['AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500']	[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]	10	35
74205	0.0016	['AT1G07510', 'AT1G15820', 'AT1G50250', 'AT2G24020', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT4G13010', 'AT5G16660', 'AT5G21430']	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	10	35
79548	0.0016	['AT1G50250', 'AT2G42975', 'AT2G43010', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500']	[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	10	35
133813	0.0015	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT2G20270', 'AT2G24020', 'AT2G40760', 'AT2G42975', 'AT2G43010', 'AT3G57680', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G38380', 'AT5G12470', 'AT5G16660', 'AT5G52970']	[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	19	26
137384	0.0015	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT2G20270', 'AT2G24020', 'AT2G43010', 'AT3G57680', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G52970']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	19	26
137393	0.0015	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G50250', 'AT2G20270', 'AT2G24020', 'AT2G43010', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G52970']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	19	26
123951	0.0015	['AT1G06690', 'AT1G07510', 'AT1G15820', 'AT1G29920', 'AT1G55370', 'AT1G74710', 'AT2G40760', 'AT2G43010', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT5G12470', 'AT5G23890', 'AT5G52970']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]	19	26
33029	0.0015	['AT1G07510', 'AT1G15820', 'AT2G24020', 'AT3G24590', 'AT3G57680', 'AT4G13670', 'AT5G12470', 'AT5G21430', 'AT5G52970']	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	9	40
165292	0.0015	['AT4G01900', 'AT4G24750', 'AT3G26580', 'AT1G10170', 'AT3G10130', 'AT4G35770', 'AT1G42960', 'AT1G67280', 'AT1G55370', 'AT3G55330', 'AT3G53560', 'AT1G20810', 'AT4G13670', 'AT2G42975', 'AT1G07510', 'AT5G52970', 'AT1G50250', 'AT4G20820', 'AT5G53490', 'AT3G15360', 'AT2G43010', 'AT1G79450', 'AT2G42220', 'AT1G74710', 'AT1G23740', 'AT2G20270', 'AT3G60370', 'AT3G22690', 'AT2G40760', 'AT4G39460', 'AT5G21430', 'AT5G23890', 'AT3G24590', 'AT1G29920', 'AT1G30510', 'AT5G42765', 'AT1G15140', 'AT4G13010', 'AT1G79230', 'AT2G24020', 'AT1G15820', 'AT4G39730', 'AT5G16660', 'AT3G57680', 'AT4G24930', 'AT5G12470', 'AT1G06690', 'AT2G21160']	[36]	48	1
99936	0.0015	['AT2G43010', 'AT1G50250', 'AT4G20820', 'AT1G23740', 'AT1G10170', 'AT1G29920', 'AT2G37230', 'AT1G30510', 'AT1G79230', 'AT4G24930', 'AT3G24590', 'AT1G15820', 'AT1G07510', 'AT2G24020', 'AT3G58010', 'AT2G42220', 'AT1G15140', 'AT2G42975', 'AT4G13010', 'AT5G16660', 'AT4G39460', 'AT1G54500', 'AT5G12470', 'AT4G39730']	[21]	24	1
117189	0.0015	['AT1G29920', 'AT1G50250', 'AT2G22360', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT4G39460', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430']	[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	16	19
7137	0.0015	['AT1G72640', 'AT2G30950', 'AT4G04020', 'AT4G39960', 'AT5G13120', 'AT5G15250', 'AT5G19370', 'AT5G39830']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	8	19
73559	0.0015	['AT1G07510', 'AT1G15820', 'AT1G29920', 'AT1G50250', 'AT2G24020', 'AT2G42975', 'AT2G43010', 'AT3G24590', 'AT4G13010', 'AT5G12470', 'AT5G16660', 'AT5G21430']	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]	12	28
8519	0.0015	['AT1G07510', 'AT1G15820', 'AT3G24590', 'AT3G57680', 'AT4G13670', 'AT5G12470', 'AT5G21430', 'AT5G52970']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]	8	46
99935	0.0015	['AT2G43010', 'AT1G50250', 'AT4G20820', 'AT1G23740', 'AT1G10170', 'AT1G29920', 'AT2G37230', 'AT1G30510', 'AT1G79230', 'AT4G24930', 'AT3G24590', 'AT1G15820', 'AT5G16150', 'AT2G42220', 'AT1G15140', 'AT2G42975', 'AT4G13010', 'AT1G54500', 'AT5G16660', 'AT4G39460', 'AT3G58010', 'AT4G38380', 'AT5G12470', 'AT4G39730']	[21]	24	1
10304	0.0015	['AT1G55370', 'AT1G72640', 'AT2G30950', 'AT4G04020', 'AT4G39960', 'AT5G13120', 'AT5G15250', 'AT5G39830']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	8	19
10309	0.0015	['AT1G55370', 'AT2G30950', 'AT2G40400', 'AT4G04020', 'AT4G39960', 'AT5G13120', 'AT5G15250', 'AT5G39830']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	8	19
10342	0.0015	['AT1G55370', 'AT1G72640', 'AT1G74710', 'AT4G04020', 'AT4G39960', 'AT5G13120', 'AT5G15250', 'AT5G39830']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	8	19
175480	0.0015	['AT1G14150', 'AT1G18730', 'AT1G31180', 'AT1G54580', 'AT2G26800', 'AT2G30950', 'AT3G01440', 'AT3G47060', 'AT4G04020', 'AT4G18370', 'AT4G23890', 'AT4G31560', 'AT5G15250', 'AT5G20140', 'AT5G39830', 'AT5G42070', 'AT5G52780', 'AT5G62720']	[39, 40, 41, 42]	18	4
175481	0.0015	['AT1G18730', 'AT1G31180', 'AT1G54050', 'AT1G54580', 'AT2G26800', 'AT2G30950', 'AT3G01440', 'AT3G47060', 'AT4G04020', 'AT4G18370', 'AT4G23890', 'AT4G31560', 'AT5G15250', 'AT5G20140', 'AT5G39830', 'AT5G42070', 'AT5G52780', 'AT5G62720']	[39, 40, 41, 42]	18	4
110884	0.0015	['AT1G06690', 'AT1G10170', 'AT1G23740', 'AT1G55370', 'AT1G67280', 'AT1G74710', 'AT2G27290', 'AT2G40760', 'AT3G10130', 'AT3G22690', 'AT3G26580', 'AT3G55330', 'AT3G57680', 'AT4G01900', 'AT4G35770', 'AT5G42765']	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]	16	19
110915	0.0015	['AT1G06690', 'AT1G10170', 'AT1G23740', 'AT1G55370', 'AT1G67280', 'AT1G74710', 'AT2G27290', 'AT2G40760', 'AT3G10130', 'AT3G22690', 'AT3G55330', 'AT3G57680', 'AT4G01900', 'AT4G35770', 'AT5G23890', 'AT5G42765']	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]	16	19
56892	0.0015	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G29920', 'AT1G31180', 'AT1G42960', 'AT1G50250', 'AT1G79230', 'AT2G24020', 'AT2G37230', 'AT2G42975', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT4G13010', 'AT4G20820', 'AT5G42070']	[14, 15, 16, 17]	18	4
112894	0.0015	['AT4G38380', 'AT5G16150', 'AT3G58010', 'AT4G39460', 'AT4G13010', 'AT1G54500', 'AT2G42975', 'AT5G16660', 'AT2G42220', 'AT1G50250', 'AT5G21430', 'AT5G12470', 'AT3G24590', 'AT2G22360', 'AT4G39730', 'AT2G43010', 'AT4G20820', 'AT1G29920', 'AT1G30510', 'AT2G37230', 'AT1G79230', 'AT5G19500', 'AT1G15140', 'AT1G50460']	[23]	24	1
112895	0.0015	['AT4G38380', 'AT5G16150', 'AT3G58010', 'AT4G39460', 'AT4G13010', 'AT1G54500', 'AT2G42975', 'AT5G16660', 'AT2G42220', 'AT1G50250', 'AT5G21430', 'AT5G12470', 'AT3G24590', 'AT2G22360', 'AT4G39730', 'AT2G43010', 'AT4G20820', 'AT1G29920', 'AT1G30510', 'AT2G37230', 'AT1G79230', 'AT5G19500', 'AT1G15140', 'AT4G24930']	[23]	24	1
179650	0.0015	['AT5G62720', 'AT2G01918', 'AT5G02160', 'AT4G31560', 'AT1G54580', 'AT1G31180', 'AT5G39830', 'AT1G54050', 'AT5G20140', 'AT2G30950', 'AT5G15250', 'AT3G26580', 'AT5G52780', 'AT1G18730', 'AT3G47060', 'AT4G18370', 'AT2G40400', 'AT5G42070', 'AT4G23890', 'AT4G04020', 'AT3G01440', 'AT2G26800', 'AT4G01050', 'AT4G01900']	[41]	24	1
50133	0.0015	['AT1G15820', 'AT1G29920', 'AT1G50250', 'AT2G24020', 'AT2G42975', 'AT2G43010', 'AT4G13010', 'AT5G12470', 'AT5G16660']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	9	40
50134	0.0015	['AT2G42975', 'AT2G43010', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]	9	40
