term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
162214	0.0793	AT1G22020,AT1G22450,AT1G51350,AT1G54500,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT4G27700,AT5G53170,AT5G59250	84	94	13	11
182355	0.0792	AT1G02560,AT1G03160,AT1G16880,AT2G20260,AT2G29500	91	106	5	16
177463	0.0788	AT1G02560,AT2G44990,AT1G03160,AT2G29500,AT2G30695,AT5G08540,AT1G67700,AT3G08920,AT1G16880,AT2G20260,AT5G01500	89	98	11	10
58227	0.0784	AT1G02560,AT1G67700,AT2G30695,AT2G37660,AT3G08920,AT5G01500	63	79	6	17
34860	0.0778	AT1G14345,AT1G67700,AT2G30695,AT3G01440,AT3G08920	59	76	5	18
148328	0.0778	AT1G03160,AT2G29500,AT2G30695,AT1G03090,AT1G67700,AT1G14345	80	89	6	10
133156	0.0774	AT1G50460,AT1G51350,AT2G35040,AT3G46780,AT5G53170	75	105	5	31
148786	0.0774	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	80	93	12	14
106680	0.0771	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT4G16155,AT4G27700,AT5G59250	71	81	11	11
155747	0.0769	AT1G22020,AT1G22450,AT1G51350,AT1G54500,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	82	94	11	13
162462	0.0769	AT1G02560,AT1G16880,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G08540	84	96	9	13
159096	0.0764	AT1G22020,AT1G22450,AT1G51350,AT1G54500,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	83	94	12	12
57279	0.0762	AT1G02560,AT1G03160,AT1G14150,AT1G14345,AT1G67700,AT1G80380,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT5G01500,AT5G42270	63	76	15	14
165883	0.0758	AT1G02560,AT1G12250,AT1G16880,AT1G80030,AT2G17630,AT2G30695,AT2G44990,AT3G08920,AT5G01500,AT5G08540,AT5G19370	85	98	11	14
172389	0.0758	AT1G02560,AT1G16880,AT1G67700,AT1G80030,AT2G17630,AT2G30695,AT2G44990,AT3G08920,AT5G01500,AT5G08540,AT5G19370	87	98	11	12
126501	0.0758	AT1G22020,AT2G35040,AT3G15840,AT3G25480,AT3G58010,AT5G53170	74	95	6	22
23362	0.0754	AT1G03090,AT1G50450,AT1G65260,AT1G67840,AT1G74880,AT2G21530,AT4G38100	57	68	7	12
126168	0.075	AT1G22020,AT2G35040,AT3G15840,AT3G25480,AT5G53170,AT5G59250	74	93	6	20
160544	0.075	AT1G02560,AT1G16880,AT2G20260,AT2G30695,AT2G37660,AT2G44990	83	102	6	20
131332	0.0743	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT4G16155,AT5G53170	75	97	8	23
100293	0.0741	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT3G15840,AT3G25480,AT3G28850,AT4G27700,AT5G59250	70	81	9	12
45369	0.0739	AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT5G42270	61	76	11	16
93040	0.0733	AT1G75690,AT3G28850,AT5G59250,AT4G27700,AT1G22020,AT5G16660,AT1G51350,AT3G15840,AT4G16155,AT1G22450	69	78	10	10
129578	0.0733	AT1G03160,AT2G29500,AT2G30695,AT2G37660,AT1G27510,AT1G67700,AT1G03090,AT5G35170,AT2G29180,AT1G14345	75	84	10	10
69327	0.072	AT1G22450,AT1G56500,AT2G42220,AT4G27700,AT4G38380,AT4G39460,AT5G16660,AT5G53170	65	75	8	11
158898	0.0718	AT2G17630,AT1G80030,AT5G19370,AT1G03090,AT2G29500,AT2G30695,AT2G20260,AT3G08920,AT1G02560,AT1G16880,AT2G37660,AT2G44990,AT5G01500	83	92	13	10
34859	0.0714	AT1G03160,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT3G01440,AT3G08920	59	76	7	18
106630	0.0714	AT5G01500,AT1G67700,AT1G80030,AT1G03090,AT2G30695,AT2G37660,AT1G02560	71	80	7	10
180182	0.0714	AT1G50450,AT1G67840,AT1G74880,AT2G21530,AT4G19830	90	103	5	14
69471	0.0708	AT1G02560,AT1G03090,AT1G03160,AT1G14150,AT1G14345,AT1G67700,AT1G76760,AT1G80030,AT1G80380,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT5G01500,AT5G19370,AT5G42270	65	76	20	12
141707	0.0706	AT1G03090,AT2G29500,AT2G30695,AT2G44990,AT3G08920	78	94	5	17
132142	0.0705	AT1G51350,AT1G75690,AT3G15840,AT3G46780,AT4G16155,AT5G53170	75	100	6	26
125653	0.07	AT1G22020,AT2G35040,AT3G15840,AT3G25480,AT3G58010,AT5G16660,AT5G53170	74	90	7	17
148369	0.0699	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	80	90	13	11
70401	0.0698	AT1G02560,AT1G03090,AT1G67700,AT2G30695,AT2G37660,AT3G08920,AT5G01500	65	79	7	15
162174	0.0697	AT1G02560,AT1G03090,AT1G16880,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G08540	84	94	10	11
57018	0.0694	AT1G02560,AT1G03160,AT1G14150,AT1G14345,AT1G18730,AT1G67700,AT1G80380,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G01500,AT5G42270	63	75	17	13
167246	0.0688	AT1G02560,AT1G16880,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920,AT5G01500	85	104	8	20
34695	0.0686	AT1G14345,AT1G67700,AT2G30695,AT3G01440,AT3G08920,AT4G37925	59	75	6	17
155613	0.0685	AT1G22020,AT1G22450,AT1G50460,AT1G51350,AT1G54500,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G16150,AT5G19500,AT5G53170,AT5G59250	82	93	15	12
131338	0.0685	AT1G22020,AT1G22450,AT1G51350,AT1G75690,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	75	97	11	23
134103	0.0675	AT1G22020,AT1G22450,AT1G50460,AT1G51110,AT1G51350,AT1G75690,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	76	87	14	12
74784	0.0675	AT1G22020,AT1G22450,AT1G51350,AT1G56500,AT3G28850,AT4G27700,AT5G59250	66	77	7	12
134642	0.0673	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	76	93	11	18
