wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
4046	4	50	46	6	['AT5G19500', 'AT2G42975', 'AT3G58010', 'AT4G38380', 'AT5G16150', 'AT5G21430']
4030	4	34	30	13	['AT3G10470', 'AT3G10130', 'AT3G55330', 'AT4G35770', 'AT5G52970', 'AT4G01050', 'AT2G40760', 'AT3G57680', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT1G17850', 'AT4G01900']
1014	1	15	14	12	['AT3G10130', 'AT2G42975', 'AT1G10170', 'AT1G76760', 'AT4G39730', 'AT4G01050', 'AT4G39960', 'AT2G37230', 'AT1G23740', 'AT5G23890', 'AT3G24590', 'AT4G01900']
505	5	10	5	101	['AT2G17630', 'AT4G13670', 'AT1G07510', 'AT1G75690', 'AT3G10470', 'AT1G14150', 'AT4G39960', 'AT1G23740', 'AT4G16155', 'AT1G03160', 'AT4G35770', 'AT1G50250', 'AT4G38380', 'AT2G40100', 'AT4G27700', 'AT3G15840', 'AT4G37925', 'AT1G29920', 'AT5G19500', 'AT2G30695', 'AT4G13010', 'AT1G14345', 'AT5G42765', 'AT4G39730', 'AT1G15140', 'AT1G67280', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT2G40760', 'AT2G41330', 'AT5G52440', 'AT4G20820', 'AT5G42070', 'AT3G15360', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT3G22690', 'AT5G42270', 'AT1G56500', 'AT1G17850', 'AT3G28850', 'AT2G37660', 'AT5G19370', 'AT1G74710', 'AT1G66670', 'AT2G37230', 'AT4G01900', 'AT3G55330', 'AT1G79230', 'AT5G13120', 'AT5G16150', 'AT5G59250', 'AT2G40400', 'AT2G26800', 'AT5G52970', 'AT1G12250', 'AT2G42975', 'AT3G10130', 'AT1G10170', 'AT3G60370', 'AT1G54050', 'AT4G01050', 'AT5G21430', 'AT1G80030', 'AT1G72640', 'AT3G24590', 'AT1G15820', 'AT2G22360', 'AT1G18730', 'AT3G26580', 'AT5G01500', 'AT3G08920', 'AT1G52220', 'AT4G04020', 'AT1G51110', 'AT5G16660', 'AT2G44990', 'AT3G15110', 'AT1G22450', 'AT5G53170', 'AT1G02560', 'AT4G19830', 'AT3G58010', 'AT1G51350', 'AT4G39460', 'AT5G01220', 'AT2G27290', 'AT5G23890', 'AT2G35040', 'AT1G22020', 'AT1G67700', 'AT5G03455', 'AT5G12470', 'AT1G55370', 'AT1G76760', 'AT5G15250', 'AT3G57680', 'AT5G35170', 'AT3G01440']
1508	15	23	8	53	['AT2G17630', 'AT2G01918', 'AT5G02160', 'AT1G14150', 'AT1G12250', 'AT1G02560', 'AT1G80380', 'AT4G24750', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT1G54050', 'AT5G42270', 'AT1G14345', 'AT1G80030', 'AT1G72640', 'AT5G23890', 'AT4G37925', 'AT2G35040', 'AT2G30695', 'AT5G42765', 'AT1G74710', 'AT2G37660', 'AT4G18370', 'AT1G67700', 'AT1G03090', 'AT1G18730', 'AT3G01440', 'AT2G27290', 'AT5G52780', 'AT4G23890', 'AT5G01500', 'AT2G20260', 'AT1G03160', 'AT5G19370', 'AT2G30950', 'AT5G20140', 'AT1G55370', 'AT5G08540', 'AT3G47060', 'AT5G13120', 'AT1G76760', 'AT4G39960', 'AT4G04020', 'AT5G15250', 'AT2G44990', 'AT3G15110', 'AT3G08920', 'AT5G35170', 'AT2G41330', 'AT2G40400', 'AT5G03455', 'AT2G26800']
4028	4	32	28	5	['AT1G80030', 'AT1G12250', 'AT5G03455', 'AT1G55370', 'AT1G76760']
4012a	4	16	12	52	['AT4G13670', 'AT5G53170', 'AT1G07510', 'AT1G75690', 'AT3G10470', 'AT5G42070', 'AT2G42975', 'AT3G15360', 'AT1G50250', 'AT3G10130', 'AT1G23740', 'AT1G10170', 'AT4G35770', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT4G01050', 'AT1G51350', 'AT5G16660', 'AT2G37230', 'AT4G20820', 'AT5G21430', 'AT1G56500', 'AT4G01900', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT5G19500', 'AT4G39460', 'AT4G13010', 'AT3G28850', 'AT1G22020', 'AT1G15820', 'AT2G22360', 'AT4G39730', 'AT3G15840', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT5G12470', 'AT4G16155', 'AT1G15140', 'AT3G55330', 'AT1G79230', 'AT1G52220', 'AT2G40760', 'AT1G51110', 'AT5G16150', 'AT5G59250', 'AT3G57680', 'AT1G22450']
33010	33	43	10	4	['AT2G26340', 'AT1G54780', 'AT1G65230', 'AT5G07020']
13013	13	26	13	11	['AT2G30950', 'AT1G55370', 'AT5G08540', 'AT1G76760', 'AT4G24750', 'AT5G19370', 'AT1G12250', 'AT5G03455', 'AT1G80030', 'AT1G72640', 'AT2G40400']
203	2	5	3	5	['AT1G22450', 'AT4G28025', 'AT1G54780', 'AT2G22360', 'AT5G07020']
