term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
141789	0.0884	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT3G08920']	85	106	6	22
37057	0.0854	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G42270']	60	75	10	16
4793	0.0842	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G29180', 'AT3G01440', 'AT3G14420']	52	64	7	13
114908	0.0842	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170']	76	101	7	26
113891	0.0819	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G54500', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	94	12	19
114909	0.0812	['AT1G50460', 'AT2G22360', 'AT2G35040', 'AT3G46780', 'AT4G16155', 'AT5G53170']	76	101	6	26
25965	0.0812	['AT1G14345', 'AT1G67700', 'AT3G01440', 'AT3G08920', 'AT4G27700', 'AT4G37925']	58	70	6	13
141038	0.081	['AT1G02560', 'AT1G16880', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	85	102	8	18
141039	0.081	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	85	102	8	18
41794	0.0808	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G08920', 'AT3G15110', 'AT5G42270']	61	75	11	15
103749	0.0806	['AT1G22020', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G53170', 'AT5G59250']	73	98	7	26
4760	0.0779	['AT1G03160', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT1G72640', 'AT1G74710', 'AT2G20260', 'AT2G29180', 'AT3G01440', 'AT3G08920', 'AT3G14420', 'AT3G15110', 'AT4G27700', 'AT5G52440']	52	62	14	11
