threshold	term	GeneSize	WindowSize	key	value
0.97	196	5	2	AT1G78915,AT5G62720,AT1G74070,AT1G54580,AT2G21530	3,4
0.96	197	6	4	AT1G20810,AT2G37400,AT1G54580,AT2G21530,AT1G65260,AT2G21160	3,4,5,6
0.96	198	7	4	AT1G20810,AT2G21160,AT1G50450,AT1G27510,AT1G54580,AT1G65260,AT2G37400	3,4,5,6
0.96	199	54	4	AT2G17630,AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G12250,AT5G42070,AT5G53170,AT3G15360,AT5G39830,AT3G10130,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT4G39460,AT5G59250,AT5G01500,AT5G21430,AT2G27290,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT5G42765,AT2G22360,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT2G37230,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT5G12470,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G42270,AT5G15250,AT3G57680,AT1G22450,AT5G35170,AT4G35770	3,4,5,6
0.96	200	49	4	AT2G17630,AT3G10470,AT5G13120,AT5G53170,AT5G52970,AT3G26580,AT4G13670,AT1G12250,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT2G20270,AT1G66670,AT3G60370,AT1G54050,AT5G15250,AT5G59250,AT5G12470,AT5G21430,AT2G27290,AT1G17850,AT2G35040,AT5G42765,AT4G19830,AT3G28850,AT1G15820,AT2G37660,AT2G22360,AT5G19370,AT3G10130,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT3G55330,AT1G52220,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G42270,AT5G03455,AT3G15110,AT1G22450,AT5G35170,AT4G35770,AT5G52440,AT2G26800	3,4,5,6
0.96	201	54	4	AT2G17630,AT3G10470,AT5G13120,AT2G42975,AT1G07510,AT4G20820,AT3G26580,AT4G13670,AT1G12250,AT5G42070,AT5G53170,AT3G15360,AT5G39830,AT3G10130,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT3G22690,AT2G40760,AT4G39460,AT5G59250,AT5G01500,AT5G21430,AT2G27290,AT3G24590,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT1G15820,AT5G42765,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT2G37230,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT5G12470,AT1G79230,AT1G76760,AT4G39960,AT4G04020,AT5G42270,AT5G15250,AT3G57680,AT1G22450,AT5G35170,AT4G35770	3,4,5,6
0.96	202	5	2	AT4G24930,AT3G26080,AT1G79450,AT1G05385,AT1G06690	3,4
0.96	203	29	4	AT2G42975,AT1G07510,AT1G75690,AT4G38380,AT3G15360,AT1G50250,AT4G35770,AT5G52970,AT3G58010,AT1G51350,AT3G22690,AT2G40760,AT4G39460,AT4G20820,AT5G21430,AT1G56500,AT3G24590,AT1G29920,AT5G19500,AT4G13010,AT1G22020,AT2G22360,AT3G26580,AT2G37230,AT5G20140,AT3G55330,AT1G51110,AT3G57680,AT1G22450	3,4,5,6
0.95	204	5	2	AT3G26080,AT1G30510,AT4G24930,AT1G05385,AT1G06690	3,4
0.95	205	8	4	AT1G20810,AT2G21160,AT1G50450,AT1G27510,AT1G03090,AT1G54580,AT1G65260,AT2G37400	3,4,5,6
