TermId	 GeneSize	Gene
219	24	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G05385 AT4G01900 AT1G23740 AT1G79450 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT2G21160 AT1G78915 AT3G53560 AT5G62720 AT5G02160 AT2G37230
220	20	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G05385 AT4G01900 AT1G23740 AT1G79450 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G53490 AT1G54790 AT5G52780 AT5G23890 AT4G37925 AT4G24930
221	6	AT2G22360 AT3G21055 AT5G21430 AT1G22020 AT3G15110 AT5G52440
222	3	AT4G27700 AT4G01050 AT1G14590
223	2	AT4G28025 AT1G54780
224	2	AT5G42765 AT1G10170
225	15	AT5G52440 AT5G59250 AT1G15140 AT3G46780 AT1G55370 AT3G21055 AT4G16155 AT4G13010 AT2G24020 AT1G22020 AT5G21430 AT1G51350 AT1G18730 AT1G50460 AT3G15110
226	3	AT1G54780 AT2G22360 AT1G54500
227	3	AT1G54780 AT2G22360 AT4G28025
228	2	AT2G01140 AT3G24590
229	25	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G05385 AT4G01900 AT1G23740 AT1G79450 AT4G24930 AT1G76760 AT4G39730 AT4G24750 AT5G53490 AT1G03850 AT1G54790 AT5G52780 AT5G23890 AT2G21160 AT1G78915 AT3G53560 AT5G62720 AT5G02160 AT2G37230
230	3	AT2G18790 AT3G08920 AT4G33010
231	2	AT3G14420 AT1G16880
232	16	AT3G21055 AT5G21430 AT3G15110 AT1G22020 AT4G16155 AT3G46780 AT1G51350 AT4G13010 AT5G59250 AT1G15140 AT1G50460 AT2G24020 AT1G18730 AT1G55370 AT1G54500 AT2G22360
233	86	AT3G21055 AT5G21430 AT3G15110 AT1G22020 AT4G16155 AT3G46780 AT1G51350 AT4G13010 AT5G59250 AT1G15140 AT1G50460 AT2G24020 AT1G18730 AT1G55370 AT2G17630 AT4G13670 AT3G10470 AT5G13120 AT4G31560 AT1G07510 AT5G52970 AT1G75690 AT4G20820 AT1G42960 AT2G40100 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT2G43010 AT4G04020 AT5G39830 AT1G66670 AT3G60370 AT4G35770 AT5G16660 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT1G74710 AT4G18370 AT5G19370 AT1G67700 AT5G03455 AT1G67280 AT3G26580 AT3G55330 AT5G20140 AT2G30950 AT1G79230 AT1G52220 AT3G47060 AT2G20270 AT1G06690 AT1G51110 AT5G16150 AT5G15250 AT3G57680 AT2G44990 AT2G41330 AT2G26800 AT5G01500 AT2G29500 AT5G53170 AT2G20260 AT1G03160
234	83	AT3G21055 AT5G21430 AT3G15110 AT1G22020 AT4G16155 AT3G46780 AT1G51350 AT4G13010 AT5G59250 AT1G15140 AT1G50460 AT2G24020 AT1G18730 AT1G55370 AT2G17630 AT4G13670 AT3G10470 AT5G13120 AT4G31560 AT1G07510 AT5G52970 AT1G75690 AT4G20820 AT1G42960 AT2G40100 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT2G43010 AT4G04020 AT5G39830 AT1G66670 AT3G60370 AT4G35770 AT5G16660 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT1G74710 AT4G18370 AT5G19370 AT1G67700 AT5G03455 AT1G67280 AT3G26580 AT3G55330 AT5G20140 AT2G30950 AT1G79230 AT1G52220 AT3G47060 AT2G20270 AT1G06690 AT1G51110 AT5G16150 AT5G15250 AT3G57680 AT2G44990 AT2G41330 AT2G26800 AT5G01500 AT5G52440
235	16	AT3G21055 AT5G21430 AT3G15110 AT1G22020 AT4G16155 AT3G46780 AT1G51350 AT4G13010 AT5G59250 AT1G15140 AT1G50460 AT2G24020 AT1G18730 AT1G55370 AT2G22360 AT5G52440
236	7	AT3G21055 AT5G21430 AT3G15110 AT1G22020 AT4G28025 AT2G22360 AT5G52440
237	4	AT4G27700 AT4G01050 AT3G24590 AT1G14590
238	74	AT4G33010 AT2G17630 AT4G13670 AT3G10470 AT5G13120 AT2G40100 AT5G53170 AT4G31560 AT1G07510 AT5G52970 AT1G75690 AT4G20820 AT1G42960 AT1G14150 AT2G20260 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT2G43010 AT5G39830 AT2G29500 AT1G74710 AT1G03160 AT2G20270 AT4G35770 AT1G66670 AT3G60370 AT5G16660 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G51110 AT2G30950 AT3G08920 AT5G20140 AT5G08540 AT5G01500 AT3G55330 AT1G52220 AT1G79230 AT3G47060 AT2G44990 AT1G67700 AT5G16150 AT5G15250 AT5G03455 AT3G57680 AT2G26800 AT2G41330 AT1G06690 AT1G67280 AT3G26580
239	2	AT1G32500 AT2G29180
240	8	AT1G54780 AT3G21055 AT1G22020 AT5G21430 AT1G54500 AT4G28025 AT2G22360 AT3G15110
241	3	AT2G01140 AT4G01050 AT3G24590
242	22	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G23740 AT5G53490 AT1G54790 AT1G79450 AT4G01900 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G52780 AT4G37925 AT5G23890 AT1G05385 AT1G65260 AT1G74880 AT1G50450
243	26	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G23740 AT5G53490 AT1G54790 AT1G79450 AT4G01900 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT5G52780 AT4G37925 AT5G23890 AT1G05385 AT2G21160 AT5G02160 AT1G78915 AT3G53560 AT5G62720 AT2G37230 AT4G24930
244	3	AT2G18790 AT1G16880 AT3G14420
245	2	AT3G14420 AT1G32500
246	85	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT1G18730 AT1G51350 AT1G50460 AT1G55370 AT2G24020 AT2G17630 AT4G13670 AT3G10470 AT4G31560 AT5G13120 AT1G07510 AT5G52970 AT2G40100 AT1G75690 AT4G20820 AT1G42960 AT1G14150 AT1G12250 AT2G26800 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT5G16660 AT4G04020 AT2G43010 AT5G39830 AT1G66670 AT1G67280 AT4G35770 AT3G60370 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT1G67700 AT5G19370 AT1G74710 AT5G03455 AT4G18370 AT3G26580 AT5G01500 AT1G06690 AT2G30950 AT5G20140 AT2G20270 AT3G55330 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT5G15250 AT2G44990 AT3G47060 AT3G57680 AT2G41330 AT1G54500 AT3G21055 AT5G21430 AT1G22020 AT3G15110 AT2G22360 AT5G52440
247	86	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT1G18730 AT1G51350 AT1G50460 AT1G55370 AT2G24020 AT2G17630 AT4G13670 AT3G10470 AT4G31560 AT5G13120 AT1G07510 AT5G52970 AT2G40100 AT1G75690 AT4G20820 AT1G42960 AT1G14150 AT1G12250 AT2G26800 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT5G16660 AT4G04020 AT2G43010 AT5G39830 AT1G66670 AT1G67280 AT4G35770 AT3G60370 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT1G67700 AT5G19370 AT1G74710 AT5G03455 AT4G18370 AT3G26580 AT5G01500 AT1G06690 AT2G30950 AT5G20140 AT2G20270 AT3G55330 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT5G15250 AT2G44990 AT3G47060 AT3G57680 AT2G41330 AT2G29500 AT1G03160 AT2G20260 AT5G52440 AT5G21430 AT1G22020 AT3G21055 AT3G15110
248	84	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT1G18730 AT1G51350 AT1G50460 AT1G55370 AT2G24020 AT2G17630 AT4G13670 AT3G10470 AT4G31560 AT5G13120 AT1G07510 AT5G52970 AT2G40100 AT1G75690 AT4G20820 AT1G42960 AT1G14150 AT1G12250 AT2G26800 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT5G16660 AT4G04020 AT2G43010 AT5G39830 AT1G66670 AT1G67280 AT4G35770 AT3G60370 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT1G67700 AT5G19370 AT1G74710 AT5G03455 AT4G18370 AT3G26580 AT5G01500 AT1G06690 AT2G30950 AT5G20140 AT2G20270 AT3G55330 AT1G79230 AT1G52220 AT1G51110 AT5G16150 AT5G15250 AT2G44990 AT3G47060 AT3G57680 AT2G41330 AT2G29500 AT1G03160 AT2G20260 AT5G53170 AT3G08920 AT4G33010
249	18	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT1G18730 AT1G51350 AT1G50460 AT1G55370 AT2G24020 AT4G28025 AT3G21055 AT1G22020 AT5G21430 AT1G54500 AT3G15110 AT2G22360 AT5G52440
250	4	AT1G50450 AT1G67840 AT1G65260 AT1G74880
251	2	AT2G01140 AT4G24930
252	23	AT2G01918 AT2G42975 AT1G16790 AT4G39960 AT2G26340 AT3G10130 AT1G23740 AT5G53490 AT1G54790 AT1G79450 AT4G01900 AT1G76760 AT4G39730 AT4G24750 AT1G03850 AT4G24930 AT5G52780 AT4G37925 AT5G23890 AT1G05385 AT1G65260 AT1G74880 AT1G50450
253	4	AT2G18790 AT3G08920 AT4G33010 AT5G53170
254	3	AT3G14420 AT1G32500 AT2G29180
255	18	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT3G21055 AT5G21430 AT1G18730 AT1G50460 AT1G51350 AT2G24020 AT1G22020 AT1G55370 AT3G15110 AT1G54780 AT4G28025 AT1G54500 AT2G22360
256	88	AT4G16155 AT1G15140 AT3G46780 AT4G13010 AT5G59250 AT3G21055 AT5G21430 AT1G18730 AT1G50460 AT1G51350 AT2G24020 AT1G22020 AT1G55370 AT3G15110 AT2G17630 AT4G13670 AT3G10470 AT5G13120 AT4G31560 AT1G07510 AT5G52970 AT1G75690 AT2G40100 AT4G20820 AT2G26800 AT1G42960 AT1G14150 AT1G12250 AT5G42070 AT5G19500 AT1G54580 AT1G02560 AT4G04020 AT2G43010 AT1G67280 AT5G39830 AT1G66670 AT3G60370 AT4G35770 AT5G16660 AT5G08540 AT3G58010 AT4G38380 AT1G54050 AT3G22690 AT2G40760 AT4G39460 AT5G42270 AT5G12470 AT1G14345 AT2G27290 AT1G80030 AT1G56500 AT1G72640 AT1G17850 AT1G29920 AT2G35040 AT4G19830 AT3G28850 AT1G15820 AT2G37660 AT4G18370 AT5G19370 AT1G67700 AT1G74710 AT5G03455 AT3G26580 AT5G01500 AT1G06690 AT2G30950 AT5G20140 AT3G55330 AT1G79230 AT1G52220 AT3G47060 AT2G20270 AT1G51110 AT5G16150 AT5G15250 AT2G44990 AT3G57680 AT2G41330 AT2G29500 AT2G20260 AT1G03160 AT1G54500 AT2G22360 AT5G52440
