threshold	term	key	value
0.95 	202	AT2G17630,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT4G38380,AT1G12250,AT5G19500,AT5G42070,AT5G39830,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G15250,AT3G57680,AT4G35770	0,1,2,3,4,5,6
0.94 	203	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT5G03455,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G15250,AT3G57680,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6
0.94 	204	AT2G26340,AT1G23740,AT1G50450,AT1G79450,AT1G16790,AT1G76760,AT4G39730,AT4G39960,AT5G53490,AT1G65260,AT2G42975,AT1G03850,AT4G01900	0,1,2
0.94 	205	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT4G01900	0,1,2,3
0.93 	206	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT5G39830,AT1G74710,AT4G19830,AT2G20270,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT4G20820,AT5G21430,AT2G27290,AT1G56500,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT5G19370,AT2G29500,AT1G67280,AT1G80030,AT5G01500,AT2G30950,AT5G20140,AT3G55330,AT1G52220,AT1G79230,AT4G04020,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6
0.93 	207	AT3G08920,AT2G29500,AT4G33010,AT2G20260,AT1G03160	0,1,2,3
0.92 	208	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G19830,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6
0.91 	209	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G19830,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6
0.91 	210	AT2G26340,AT1G79450,AT3G53560,AT4G24750,AT5G53490,AT1G54790,AT4G01900	0,1,2,3
0.9 	211	AT2G17630,AT4G38380,AT3G10470,AT5G13120,AT1G07510,AT1G75690,AT3G26580,AT4G13670,AT1G14150,AT1G12250,AT5G19500,AT5G42070,AT1G02560,AT4G04020,AT5G39830,AT1G74710,AT4G16155,AT1G03160,AT1G66670,AT3G60370,AT5G52970,AT3G58010,AT2G40760,AT1G54050,AT3G22690,AT1G51350,AT4G39460,AT5G59250,AT5G12470,AT1G14345,AT5G21430,AT1G80030,AT1G56500,AT1G72640,AT4G19830,AT1G17850,AT1G29920,AT2G35040,AT5G15250,AT4G13010,AT3G28850,AT1G22020,AT1G15820,AT2G37660,AT1G67700,AT2G29500,AT1G67280,AT2G27290,AT4G20820,AT5G01500,AT5G19370,AT2G30950,AT5G20140,AT2G20260,AT3G55330,AT1G52220,AT1G79230,AT2G20270,AT1G51110,AT5G42270,AT5G03455,AT3G57680,AT4G35770,AT5G52440,AT2G26800	0,1,2,3,4,5,6
