term_id	sign_score	annotation_gene	start_time	end_time	geneSize	timeSize
86783	0.0083	['AT1G14590', 'AT1G17850', 'AT1G66670', 'AT1G67280', 'AT1G74710', 'AT2G27290', 'AT2G40100', 'AT2G40400', 'AT2G40760', 'AT3G10130', 'AT3G10470', 'AT3G26580', 'AT4G01050', 'AT4G04020', 'AT4G18370', 'AT4G24750', 'AT4G31560', 'AT4G39960', 'AT5G02160', 'AT5G20140', 'AT5G23890', 'AT5G42070', 'AT5G42765', 'AT5G62720']	68	78	24	11
86784	0.0083	['AT1G06690', 'AT1G14590', 'AT1G17850', 'AT1G55370', 'AT1G66670', 'AT1G67280', 'AT1G74710', 'AT2G27290', 'AT3G10130', 'AT3G10470', 'AT3G26580', 'AT4G01050', 'AT4G04020', 'AT4G18370', 'AT4G35770', 'AT4G39960', 'AT5G23890', 'AT5G42070', 'AT5G42765', 'AT5G62720']	68	78	20	11
121177	0.0083	['AT1G50460', 'AT1G54500', 'AT3G25480', 'AT3G46780', 'AT3G58010', 'AT4G38380', 'AT4G39460', 'AT5G16150', 'AT5G16660', 'AT5G19500']	73	93	10	21
121185	0.0083	['AT1G20810', 'AT1G50460', 'AT1G54500', 'AT2G22360', 'AT3G58010', 'AT4G38380', 'AT4G39460', 'AT5G16150', 'AT5G16660', 'AT5G19500']	73	93	10	21
187510	0.0083	['AT1G20810', 'AT1G21750', 'AT1G54500', 'AT1G65260', 'AT1G74070', 'AT2G37400', 'AT3G15360', 'AT3G15840']	96	106	8	11
187537	0.0083	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT2G22360', 'AT2G42220', 'AT3G28850', 'AT3G46780', 'AT4G13010', 'AT4G16155', 'AT4G23890', 'AT5G19500', 'AT5G21430', 'AT5G59250']	96	106	16	11
56557	0.0083	['AT1G02560', 'AT1G12250', 'AT1G14150', 'AT1G18730', 'AT1G27510', 'AT1G54050', 'AT1G55370', 'AT1G72640', 'AT1G74710', 'AT1G76760', 'AT2G01918', 'AT2G17630', 'AT2G20260', 'AT2G20270', 'AT2G26800', 'AT2G29500', 'AT2G30950', 'AT2G40100', 'AT2G40400', 'AT2G41330', 'AT2G44990', 'AT3G01440', 'AT3G15110', 'AT3G47060', 'AT4G04020', 'AT4G23890', 'AT4G24750', 'AT4G37925', 'AT4G39960', 'AT5G01500', 'AT5G02160', 'AT5G03455', 'AT5G13120', 'AT5G15250', 'AT5G19370', 'AT5G23890', 'AT5G35170', 'AT5G39830', 'AT5G42270', 'AT5G52780']	63	73	40	11
155528	0.0083	['AT1G06690', 'AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G20810', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G50460', 'AT1G52220', 'AT1G54500', 'AT1G55370', 'AT1G79450', 'AT2G20270', 'AT2G22360', 'AT2G24020', 'AT2G35040', 'AT2G40760', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G24590', 'AT3G25480', 'AT3G46780', 'AT3G53560', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24750', 'AT4G24930', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430', 'AT5G23890', 'AT5G52970']	82	92	48	11
155538	0.0083	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15140', 'AT1G15820', 'AT1G20810', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G50460', 'AT1G52220', 'AT1G54500', 'AT1G55370', 'AT1G79450', 'AT2G20270', 'AT2G22360', 'AT2G24020', 'AT2G35040', 'AT2G40760', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G24590', 'AT3G46780', 'AT3G53560', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24750', 'AT4G24930', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430', 'AT5G23890', 'AT5G52970']	82	92	48	11
125015	0.0083	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G42960', 'AT1G52220', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT1G74710', 'AT1G79230', 'AT1G79450', 'AT2G20270', 'AT2G21160', 'AT2G24020', 'AT2G27290', 'AT2G40400', 'AT2G40760', 'AT2G43010', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G26080', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G20820', 'AT4G24750', 'AT4G24930', 'AT4G28025', 'AT4G35770', 'AT5G12470', 'AT5G21430', 'AT5G23890', 'AT5G42070', 'AT5G52970']	74	86	40	13
80920	0.0083	['AT1G06690', 'AT1G31180', 'AT1G52220', 'AT2G40760', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G35770', 'AT5G42070', 'AT5G52970']	67	79	10	13
125657	0.0083	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G20810', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G54500', 'AT1G79230', 'AT2G20270', 'AT2G21160', 'AT2G22360', 'AT2G24020', 'AT2G37230', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G24590', 'AT3G53560', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24930', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16660', 'AT5G21430', 'AT5G52970']	74	90	35	17
125671	0.0083	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G54500', 'AT1G79230', 'AT2G20270', 'AT2G21160', 'AT2G22360', 'AT2G24020', 'AT2G37230', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G24590', 'AT3G53560', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24930', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16660', 'AT5G21430', 'AT5G23890', 'AT5G52970']	74	90	35	17
119303	0.0083	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G55370', 'AT1G72640', 'AT2G22360', 'AT2G24020', 'AT2G40760', 'AT2G42975', 'AT2G43010', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT5G12470', 'AT5G21430', 'AT5G23890', 'AT5G42070', 'AT5G52970']	73	83	32	11
29246	0.0083	['AT1G17850', 'AT3G10130', 'AT3G10470', 'AT4G01050', 'AT4G35770']	58	74	5	17
29264	0.0083	['AT1G12250', 'AT1G55370', 'AT1G72640', 'AT1G76760', 'AT1G80030', 'AT2G27290', 'AT2G30950', 'AT2G40400', 'AT4G04020', 'AT4G24750', 'AT4G39960', 'AT5G19370', 'AT5G20140', 'AT5G23890', 'AT5G42765']	58	74	15	17
29269	0.0083	['AT1G12250', 'AT1G55370', 'AT1G72640', 'AT1G74710', 'AT1G76760', 'AT1G80030', 'AT2G27290', 'AT2G30950', 'AT2G40400', 'AT4G04020', 'AT4G39960', 'AT5G02160', 'AT5G19370', 'AT5G23890', 'AT5G42765']	58	74	15	17
130368	0.0083	['AT1G14590', 'AT1G54050', 'AT1G54580', 'AT3G10470', 'AT4G18370', 'AT4G31560', 'AT4G39960', 'AT5G03455', 'AT5G13120', 'AT5G39830']	75	91	10	17
98255	0.0083	['AT1G06690', 'AT2G22360', 'AT3G15360', 'AT3G57680', 'AT4G13670', 'AT5G21430', 'AT5G23890', 'AT5G52970']	69	99	8	31
5704	0.0083	['AT1G07510', 'AT1G12250', 'AT1G15820', 'AT1G17850', 'AT1G22450', 'AT1G29920', 'AT1G52220', 'AT1G66670', 'AT1G67280', 'AT1G75690', 'AT1G76760', 'AT1G79230', 'AT2G20270', 'AT2G22360', 'AT2G27290', 'AT2G30950', 'AT2G35040', 'AT2G40760', 'AT2G42975', 'AT3G10130', 'AT3G10470', 'AT3G15360', 'AT3G24590', 'AT3G26580', 'AT3G28850', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G19830', 'AT4G20820', 'AT4G35770', 'AT4G39460', 'AT4G39960', 'AT5G03455', 'AT5G12470', 'AT5G19370', 'AT5G20140', 'AT5G21430', 'AT5G42070', 'AT5G42765', 'AT5G52440', 'AT5G52970', 'AT5G53170']	52	66	46	15
11813	0.0083	['AT2G17630', 'AT3G10470', 'AT4G13670', 'AT1G07510', 'AT1G14150', 'AT4G39960', 'AT2G27290', 'AT1G22450', 'AT5G13120', 'AT5G53170', 'AT2G42975', 'AT5G01500', 'AT4G13010', 'AT5G52440', 'AT5G52970', 'AT1G12250', 'AT2G40400', 'AT5G42070', 'AT2G26800', 'AT5G19500', 'AT1G02560', 'AT3G15360', 'AT1G80380', 'AT5G39830', 'AT2G29500', 'AT4G04020', 'AT1G74710', 'AT5G59250', 'AT3G10130', 'AT1G03160', 'AT2G20270', 'AT1G66670', 'AT4G35770', 'AT3G60370', 'AT3G58010', 'AT1G54050', 'AT2G40760', 'AT4G39460', 'AT5G42270', 'AT2G30950', 'AT5G12470', 'AT5G21430', 'AT1G14345', 'AT4G37925', 'AT1G80030', 'AT1G72640', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT2G35040', 'AT4G19830', 'AT3G28850', 'AT1G15820', 'AT2G37660', 'AT5G19370', 'AT1G67700', 'AT1G18730', 'AT5G03455', 'AT1G67280', 'AT3G01440', 'AT3G26580', 'AT5G42765', 'AT1G55370', 'AT2G20260', 'AT3G55330', 'AT1G79230', 'AT1G52220', 'AT1G76760', 'AT1G51110', 'AT5G15250', 'AT5G35170', 'AT3G15110', 'AT2G41330', 'AT5G20140', 'AT2G22360', 'AT1G51350', 'AT3G57680', 'AT5G01220', 'AT4G20820', 'AT1G56500', 'AT2G37230', 'AT1G75690', 'AT4G38380', 'AT3G22690', 'AT3G14420']	54	63	85	10
188889	0.0083	['AT1G12250', 'AT1G14150', 'AT1G18730', 'AT1G42960', 'AT1G54050', 'AT1G66670', 'AT1G67280', 'AT1G72640', 'AT1G80030', 'AT2G17630', 'AT2G26800', 'AT2G27290', 'AT2G30950', 'AT2G37660', 'AT2G40100', 'AT2G41330', 'AT3G10470', 'AT3G26580', 'AT3G47060', 'AT3G55330', 'AT4G04020', 'AT4G18370', 'AT4G31560', 'AT4G39460', 'AT5G01500', 'AT5G03455', 'AT5G15250', 'AT5G19370', 'AT5G20140', 'AT5G39830', 'AT5G42070']	98	111	31	14
26458	0.0083	['AT1G07510', 'AT1G15820', 'AT1G42960', 'AT2G22360', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT5G21430', 'AT5G42070', 'AT5G52970']	57	88	13	32
137617	0.0083	['AT1G14590', 'AT1G18730', 'AT1G54050', 'AT3G10470', 'AT3G15110', 'AT4G18370', 'AT4G31560', 'AT4G39960', 'AT5G03455', 'AT5G13120', 'AT5G39830']	77	88	11	12
121543	0.0083	['AT1G06690', 'AT1G07510', 'AT1G15820', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G52220', 'AT1G55370', 'AT1G74710', 'AT2G24020', 'AT2G40760', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G35770', 'AT5G23890', 'AT5G52970']	73	95	22	23
107104	0.0083	['AT1G06690', 'AT1G14590', 'AT1G17850', 'AT1G18730', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT2G27290', 'AT2G40100', 'AT3G10470', 'AT4G04020', 'AT4G18370', 'AT4G35770', 'AT4G39960', 'AT5G02160', 'AT5G13120', 'AT5G15250', 'AT5G20140', 'AT5G23890', 'AT5G42070', 'AT5G52780', 'AT5G62720']	71	82	22	12
9758	0.0083	['AT1G12250', 'AT1G54050', 'AT1G55370', 'AT1G72640', 'AT1G74710', 'AT1G80030', 'AT2G30950', 'AT4G04020', 'AT4G39960', 'AT5G15250', 'AT5G39830']	53	75	11	23
44536	0.0083	['AT1G22020', 'AT1G50460', 'AT1G51110', 'AT1G51350', 'AT1G75690', 'AT2G42220', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT5G16150', 'AT5G19500']	61	72	11	12
121541	0.0083	['AT1G06690', 'AT1G07510', 'AT1G15820', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G55370', 'AT2G24020', 'AT2G40760', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G35770', 'AT5G23890', 'AT5G52970']	73	95	22	23
25389	0.0083	['AT1G42960', 'AT1G52220', 'AT2G22360', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13670', 'AT4G35770', 'AT5G21430', 'AT5G42070', 'AT5G52970']	57	79	11	23
93541	0.0083	['AT1G14150', 'AT1G14590', 'AT1G17850', 'AT1G18730', 'AT1G27510', 'AT1G55370', 'AT1G72640', 'AT2G17630', 'AT2G20270', 'AT2G26800', 'AT2G27290', 'AT2G30950', 'AT2G40100', 'AT2G40400', 'AT2G41330', 'AT3G01440', 'AT3G10470', 'AT3G47060', 'AT4G04020', 'AT4G18370', 'AT4G23890', 'AT4G24750', 'AT4G37925', 'AT4G39960', 'AT5G02160', 'AT5G03455', 'AT5G08540', 'AT5G13120', 'AT5G15250', 'AT5G20140', 'AT5G35170', 'AT5G39830', 'AT5G52780']	69	80	33	12
120283	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT2G24020', 'AT2G37230', 'AT2G40760', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G52970']	73	88	27	16
120344	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G52220', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT1G74710', 'AT2G24020', 'AT2G40760', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G52970']	73	88	27	16
175063	0.0082	['AT2G17630', 'AT1G12250', 'AT1G80030', 'AT5G19370', 'AT2G37660', 'AT2G20260', 'AT5G01500', 'AT2G44990', 'AT1G02560', 'AT1G76760', 'AT4G37925', 'AT1G14150', 'AT2G40100', 'AT3G01440', 'AT2G40400', 'AT4G23890', 'AT2G41330', 'AT2G26800']	88	97	18	10
79732	0.0082	['AT5G23890', 'AT1G55370', 'AT2G27290', 'AT3G10470', 'AT4G39960', 'AT1G52220', 'AT1G14590', 'AT5G42765', 'AT1G74710', 'AT5G08540', 'AT4G35770', 'AT2G40760', 'AT3G10130', 'AT1G67280', 'AT1G06690', 'AT3G26580', 'AT1G17850', 'AT1G66670']	67	76	18	10
118804	0.0082	['AT1G22020', 'AT5G16660', 'AT3G58010', 'AT1G54500', 'AT4G38380', 'AT4G39460', 'AT1G50460', 'AT5G19500', 'AT4G13010', 'AT3G25480', 'AT5G16150', 'AT3G15360', 'AT2G42220', 'AT2G42975', 'AT1G07510', 'AT5G12470', 'AT1G50250', 'AT1G42960', 'AT2G22360', 'AT4G39730', 'AT5G21430', 'AT3G24590', 'AT2G43010', 'AT1G29920', 'AT1G15820', 'AT1G30510', 'AT2G37230']	73	82	27	10
185697	0.0082	['AT1G12250', 'AT1G14150', 'AT1G80030', 'AT2G26800', 'AT2G37660', 'AT4G04020', 'AT4G18370', 'AT5G19370', 'AT5G42070']	93	111	9	19
120276	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G52220', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT1G74710', 'AT2G24020', 'AT2G37230', 'AT2G40760', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G52970']	73	88	27	16
120340	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G55370', 'AT1G66670', 'AT1G72640', 'AT2G24020', 'AT2G40760', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G52970']	73	88	27	16
187463	0.0082	['AT3G10470', 'AT4G31560', 'AT5G20140', 'AT1G54580', 'AT5G15250', 'AT5G39830', 'AT3G26580', 'AT3G47060', 'AT1G54050', 'AT1G66670', 'AT2G30950', 'AT1G18730', 'AT1G72640', 'AT1G42960', 'AT5G03455', 'AT1G67280', 'AT1G10170', 'AT4G35770', 'AT4G39460', 'AT2G27290', 'AT1G17850', 'AT5G42765', 'AT3G55330', 'AT2G01918', 'AT5G53170', 'AT1G14590', 'AT4G24750', 'AT3G10130', 'AT4G01050', 'AT5G13120', 'AT1G29920', 'AT5G52780', 'AT1G06690', 'AT4G13670', 'AT4G20820', 'AT4G39960', 'AT3G22690', 'AT2G40760', 'AT5G12470', 'AT3G57680', 'AT4G04020', 'AT1G76760', 'AT3G01440', 'AT4G18370', 'AT2G26800']	96	105	45	10
187470	0.0082	['AT1G21750', 'AT1G20810', 'AT2G37400', 'AT1G54500', 'AT3G15840', 'AT1G65260', 'AT1G74070', 'AT3G15360', 'AT4G38100']	96	105	9	10
187473	0.0082	['AT3G15840', 'AT3G25480', 'AT1G20810', 'AT2G37400', 'AT1G65260', 'AT1G74070', 'AT1G54500', 'AT3G15360', 'AT4G38100']	96	105	9	10
28162	0.0082	['AT1G14150', 'AT2G30695', 'AT2G37660', 'AT3G15110', 'AT2G41330', 'AT5G52780', 'AT5G35170', 'AT2G26800', 'AT2G17630', 'AT1G02560', 'AT5G39830', 'AT1G74710', 'AT2G44990', 'AT5G23890', 'AT5G13120', 'AT1G54050', 'AT2G40100', 'AT5G15250', 'AT5G42270', 'AT1G72640', 'AT5G01500', 'AT1G55370', 'AT5G02160', 'AT5G19370', 'AT1G80030', 'AT4G19830', 'AT2G40400']	58	67	27	10
162035	0.0082	['AT1G10170', 'AT1G54050', 'AT1G66670', 'AT1G67280', 'AT1G72640', 'AT2G27290', 'AT3G26580', 'AT4G31560', 'AT5G03455']	83	110	9	28
5772	0.0082	['AT1G07510', 'AT1G15820', 'AT1G17850', 'AT1G22450', 'AT1G29920', 'AT1G50250', 'AT1G51350', 'AT1G52220', 'AT1G56500', 'AT1G67280', 'AT1G75690', 'AT1G79230', 'AT2G20270', 'AT2G22360', 'AT2G35040', 'AT2G37230', 'AT2G40760', 'AT2G42975', 'AT3G10130', 'AT3G10470', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G26580', 'AT3G28850', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT4G39960', 'AT5G03455', 'AT5G12470', 'AT5G19500', 'AT5G20140', 'AT5G21430', 'AT5G42070', 'AT5G52440', 'AT5G52970', 'AT5G53170', 'AT5G59250']	52	67	46	16
5790	0.0082	['AT1G07510', 'AT1G12250', 'AT1G15820', 'AT1G17850', 'AT1G22450', 'AT1G29920', 'AT1G52220', 'AT1G66670', 'AT1G67280', 'AT1G76760', 'AT1G79230', 'AT2G20270', 'AT2G22360', 'AT2G27290', 'AT2G30950', 'AT2G35040', 'AT2G37230', 'AT2G40760', 'AT2G42975', 'AT3G10130', 'AT3G10470', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G26580', 'AT3G28850', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G04020', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT4G39460', 'AT4G39960', 'AT5G03455', 'AT5G12470', 'AT5G19370', 'AT5G20140', 'AT5G21430', 'AT5G42070', 'AT5G42765', 'AT5G52440', 'AT5G52970', 'AT5G53170']	52	67	46	16
187964	0.0082	['AT1G06690', 'AT1G10170', 'AT1G17850', 'AT1G18730', 'AT1G29920', 'AT1G42960', 'AT1G54050', 'AT1G54580', 'AT1G66670', 'AT1G67280', 'AT1G72640', 'AT2G27290', 'AT2G30950', 'AT3G01440', 'AT3G10470', 'AT3G22690', 'AT3G26580', 'AT3G47060', 'AT3G55330', 'AT4G13670', 'AT4G20820', 'AT4G31560', 'AT4G35770', 'AT4G39460', 'AT5G03455', 'AT5G13120', 'AT5G15250', 'AT5G20140', 'AT5G39830']	96	110	29	15
155356	0.0082	['AT1G15140', 'AT1G50250', 'AT1G50460', 'AT1G52220', 'AT2G22360', 'AT2G24020', 'AT2G35040', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G21430']	81	110	14	30
123009	0.0082	['AT1G14590', 'AT1G31180', 'AT1G54050', 'AT1G54580', 'AT3G10470', 'AT4G01050', 'AT4G31560']	73	102	7	30
8780	0.0082	['AT1G07510', 'AT1G12250', 'AT1G15820', 'AT1G17850', 'AT1G22450', 'AT1G29920', 'AT1G50250', 'AT1G52220', 'AT1G55370', 'AT1G56500', 'AT1G66670', 'AT1G67280', 'AT1G75690', 'AT1G76760', 'AT1G79230', 'AT2G20270', 'AT2G22360', 'AT2G30950', 'AT2G35040', 'AT2G37230', 'AT2G40760', 'AT2G42975', 'AT3G10130', 'AT3G10470', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G26580', 'AT3G28850', 'AT3G55330', 'AT3G57680', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT4G38380', 'AT4G39460', 'AT4G39960', 'AT5G03455', 'AT5G12470', 'AT5G20140', 'AT5G21430', 'AT5G42070', 'AT5G42765', 'AT5G52440', 'AT5G52970', 'AT5G53170', 'AT5G59250']	53	66	50	14
94637	0.0082	['AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G31180', 'AT1G42960', 'AT1G50250', 'AT1G79230', 'AT2G22360', 'AT2G24020', 'AT2G37230', 'AT2G43010', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G20820', 'AT5G12470', 'AT5G21430', 'AT5G52970']	69	82	25	14
188040	0.0082	['AT1G14150', 'AT1G18730', 'AT1G42960', 'AT1G54050', 'AT1G54580', 'AT1G66670', 'AT1G72640', 'AT2G26800', 'AT3G10470', 'AT3G26580', 'AT3G47060', 'AT4G04020', 'AT4G18370', 'AT4G31560', 'AT4G39460', 'AT5G03455', 'AT5G15250', 'AT5G20140', 'AT5G39830']	96	111	19	16
121037	0.0082	['AT1G06690', 'AT1G07510', 'AT1G15820', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G54500', 'AT2G22360', 'AT2G24020', 'AT2G37230', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G38380', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G21430', 'AT5G52970']	73	92	30	20
95442	0.0082	['AT1G06690', 'AT1G14590', 'AT1G17850', 'AT1G31180', 'AT1G55370', 'AT1G66670', 'AT1G67280', 'AT1G74710', 'AT2G27290', 'AT2G40760', 'AT3G10130', 'AT3G10470', 'AT3G26580', 'AT3G55330', 'AT3G57680', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G42765']	69	84	19	16
44741	0.0082	['AT1G22020', 'AT1G23740', 'AT1G29920', 'AT1G50250', 'AT1G56500', 'AT2G42975', 'AT3G15360', 'AT3G58010', 'AT4G13010', 'AT4G38380', 'AT4G39460', 'AT5G12470', 'AT5G16150', 'AT5G16660', 'AT5G19500', 'AT5G53170', 'AT5G59250']	61	73	17	13
126068	0.0082	['AT1G07510', 'AT1G15140', 'AT1G15820', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G50250', 'AT1G52220', 'AT1G54500', 'AT1G79230', 'AT2G20270', 'AT2G22360', 'AT2G24020', 'AT2G37230', 'AT2G42220', 'AT2G42975', 'AT2G43010', 'AT3G15360', 'AT3G24590', 'AT3G53560', 'AT3G55330', 'AT3G57680', 'AT3G60370', 'AT4G13010', 'AT4G13670', 'AT4G20820', 'AT4G24930', 'AT4G39460', 'AT4G39730', 'AT5G12470', 'AT5G16660', 'AT5G21430', 'AT5G23890', 'AT5G52970']	74	92	34	19
39364	0.0082	['AT1G22020', 'AT1G23740', 'AT1G50250', 'AT1G56500', 'AT2G42975', 'AT3G15360', 'AT3G58010', 'AT3G60370', 'AT4G13010', 'AT4G38380', 'AT4G39460', 'AT5G08540', 'AT5G12470', 'AT5G16660', 'AT5G19500', 'AT5G53170', 'AT5G59250']	60	72	17	13
40387	0.0082	['AT1G02560', 'AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G26800', 'AT2G37660', 'AT2G41330', 'AT2G44990', 'AT3G15110', 'AT4G23890', 'AT5G35170', 'AT5G52780']	60	77	12	18
108857	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G74710', 'AT2G24020', 'AT2G40760', 'AT2G43010', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT5G23890', 'AT5G52970']	71	88	24	18
108869	0.0082	['AT1G06690', 'AT1G07510', 'AT1G10170', 'AT1G15820', 'AT1G17850', 'AT1G23740', 'AT1G29920', 'AT1G30510', 'AT1G42960', 'AT1G74710', 'AT2G24020', 'AT2G40760', 'AT3G10130', 'AT3G15360', 'AT3G22690', 'AT3G24590', 'AT3G55330', 'AT3G57680', 'AT4G13670', 'AT4G20820', 'AT4G35770', 'AT5G23890', 'AT5G42070', 'AT5G52970']	71	88	24	18
